estrategia,n,wr,pts_trade,bp_trade,t,sharpe_anual,maxdd_bp,años_pos,n_años,DEV_bp,DEV_t,DEV_wr,VAL1_bp,VAL1_t,VAL1_wr,VAL2_bp,VAL2_t,VAL2_wr
Overnight todas las noches,3835,0.5475880052151239,2.6751029986962163,2.7230647007101125,2.2311755833630396,0.5719411376238849,3564.297477092793,13.0,17.0,2.3818333361084774,1.767122133644174,0.54443359375,8.051428990279694,1.8249525342521646,0.6051660516605166,0.9647260579450017,0.4104044700486382,0.5277108433734939
Overnight sin fines de semana,3005,0.5507487520798668,3.8983560732113136,4.06064665031247,3.1427148118495714,0.9100871966290863,2081.720637937802,14.0,17.0,2.694875995535213,1.8399389547097564,0.5451151213441194,12.530428333898692,2.9994865974612748,0.6223277909738717,2.657387032540975,1.0246984684906957,0.5291709314227226
Overnight solo si close > SMA200,3014,0.5603848706038487,4.657089581950894,4.043160527396024,3.5550016810260447,1.0279416351548871,1621.3925226512529,12.0,16.0,2.3618857160192164,1.9011768603431813,0.5500310752019888,10.035118798532567,2.5382289177460495,0.608786610878661,3.8716558002137336,1.757113933021045,0.5533980582524272
Solo RTH (apertura→cierre),3835,0.5371577574967406,0.8605658409387191,0.2560991677937422,0.15690177354166499,0.04022031234286031,4091.682034451925,9.0,17.0,-1.3888242812299245,-0.7375275659606297,0.5302734375,3.4632783695345775,0.7188772287668171,0.5608856088560885,1.565747437879635,0.46596151918832074,0.5381526104417671
Buy & hold (referencia),3834,0.5579029733959311,,6.808597282784034,3.3877390931048046,0.8685286956787367,4015.9390693577407,,,,,,,,,,,
