sym,stop,objetivo,costo_hoy_pct_atr,regimen,periodo,trades,usd_hoy,t
NQ,EMA50,2R,0.22945210821603687,vol baja,DEV,982,38.21091877299449,0.901403858838709
NQ,EMA50,2R,0.22945210821603687,vol baja,VAL1,441,46.57274814275883,0.8223890361900819
NQ,EMA50,2R,0.22945210821603687,vol baja,VAL2,927,115.71771641900851,2.7613701296587365
NQ,EMA50,2R,0.22945210821603687,vol normal,DEV,1352,67.60512032536168,1.93596494114934
NQ,EMA50,2R,0.22945210821603687,vol normal,VAL1,457,87.2944341946406,1.569688426217268
NQ,EMA50,2R,0.22945210821603687,vol normal,VAL2,1325,15.469380076719526,0.4872872273187831
NQ,EMA50,2R,0.22945210821603687,vol alta,DEV,1236,39.155211116650975,1.1685361940051018
NQ,EMA50,2R,0.22945210821603687,vol alta,VAL1,354,41.29030274259205,0.7351596196364903
NQ,EMA50,2R,0.22945210821603687,vol alta,VAL2,940,0.9040083929951748,0.025055889063115053
NQ,EMA50,3R,0.22945210821603687,vol baja,DEV,920,43.852368245789805,0.8352005113144431
NQ,EMA50,3R,0.22945210821603687,vol baja,VAL1,414,42.488696538718564,0.6094220574104099
NQ,EMA50,3R,0.22945210821603687,vol baja,VAL2,847,176.8560314738341,3.2952023694526837
NQ,EMA50,3R,0.22945210821603687,vol normal,DEV,1264,89.00832518635887,2.0529692294841637
NQ,EMA50,3R,0.22945210821603687,vol normal,VAL1,418,107.1291323780121,1.5223634204893044
NQ,EMA50,3R,0.22945210821603687,vol normal,VAL2,1209,22.784451410753313,0.568002755774414
NQ,EMA50,3R,0.22945210821603687,vol alta,DEV,1167,56.958510207438565,1.3785331470821367
NQ,EMA50,3R,0.22945210821603687,vol alta,VAL1,311,99.79495386619524,1.2997391340580189
NQ,EMA50,3R,0.22945210821603687,vol alta,VAL2,874,2.134144015482631,0.04890696237930309
NQ,EMA50,cierre del día,0.22945210821603687,vol baja,DEV,846,118.01090392533985,1.483551123431639
NQ,EMA50,cierre del día,0.22945210821603687,vol baja,VAL1,365,38.749524168779985,0.37611362218533084
NQ,EMA50,cierre del día,0.22945210821603687,vol baja,VAL2,728,209.57127293036223,2.748441659624941
NQ,EMA50,cierre del día,0.22945210821603687,vol normal,DEV,1140,116.27020973256941,1.6662787744217786
NQ,EMA50,cierre del día,0.22945210821603687,vol normal,VAL1,357,168.89483836554547,1.4441042449181682
NQ,EMA50,cierre del día,0.22945210821603687,vol normal,VAL2,1050,20.19711923108253,0.34348870264678427
NQ,EMA50,cierre del día,0.22945210821603687,vol alta,DEV,1054,82.30342176490615,1.3450212138662787
NQ,EMA50,cierre del día,0.22945210821603687,vol alta,VAL1,264,26.123077856693783,0.23766161357134108
NQ,EMA50,cierre del día,0.22945210821603687,vol alta,VAL2,763,79.80318006085716,1.0945031300898105
NQ,0.1 ATR,2R,0.22945210821603687,vol baja,DEV,1211,47.70941906558603,1.6750036649721411
NQ,0.1 ATR,2R,0.22945210821603687,vol baja,VAL1,508,-33.018634858367164,-0.7717109096486314
NQ,0.1 ATR,2R,0.22945210821603687,vol baja,VAL2,1080,52.93345720598608,1.753371951025838
NQ,0.1 ATR,2R,0.22945210821603687,vol normal,DEV,1608,30.273010574499448,1.232735887277609
NQ,0.1 ATR,2R,0.22945210821603687,vol normal,VAL1,515,44.139137325975256,1.011284175227436
NQ,0.1 ATR,2R,0.22945210821603687,vol normal,VAL2,1471,2.525693852565541,0.09913999918312003
NQ,0.1 ATR,2R,0.22945210821603687,vol alta,DEV,1329,9.65498551308908,0.35947523374847107
NQ,0.1 ATR,2R,0.22945210821603687,vol alta,VAL1,366,15.261072396600326,0.29742017089009637
NQ,0.1 ATR,2R,0.22945210821603687,vol alta,VAL2,964,17.715454566399124,0.5613066797874714
NQ,0.1 ATR,3R,0.22945210821603687,vol baja,DEV,1114,33.106286465947406,0.9123434591959094
NQ,0.1 ATR,3R,0.22945210821603687,vol baja,VAL1,458,-2.8908538085119764,-0.051914147535923515
NQ,0.1 ATR,3R,0.22945210821603687,vol baja,VAL2,950,97.37231214389425,2.4143982031492173
NQ,0.1 ATR,3R,0.22945210821603687,vol normal,DEV,1477,33.57381561386985,1.0687683640520989
NQ,0.1 ATR,3R,0.22945210821603687,vol normal,VAL1,457,92.66387370761976,1.5936627650677984
NQ,0.1 ATR,3R,0.22945210821603687,vol normal,VAL2,1308,-24.6625778354672,-0.7583187572569959
NQ,0.1 ATR,3R,0.22945210821603687,vol alta,DEV,1220,14.333792197619523,0.41816196627944197
NQ,0.1 ATR,3R,0.22945210821603687,vol alta,VAL1,327,76.9837182400726,1.1362426564518378
NQ,0.1 ATR,3R,0.22945210821603687,vol alta,VAL2,875,22.510860181525207,0.5572359524065105
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol baja,DEV,951,110.08891073010409,1.5324201197588274
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol baja,VAL1,393,-65.64386903318567,-0.7372870728778889
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol baja,VAL2,766,212.1959845705377,2.811577460770154
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol normal,DEV,1271,88.59027075648386,1.4192578365481838
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol normal,VAL1,372,166.2852607424549,1.4484152465531739
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol normal,VAL2,1084,13.83703430769972,0.23921906101760868
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol alta,DEV,1066,49.14833185612161,0.8373180430204433
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol alta,VAL1,277,20.12482308194724,0.18817950402534764
NQ,0.1 ATR,cierre del día,0.22945210821603687,vol alta,VAL2,718,125.50774544618447,1.6053940987668687
ES,EMA50,2R,0.9243474566797093,vol baja,DEV,862,-1.6918601146653365,-0.06770570406448531
ES,EMA50,2R,0.9243474566797093,vol baja,VAL1,326,-26.322294828325866,-0.8129900052602033
ES,EMA50,2R,0.9243474566797093,vol baja,VAL2,544,4.318048223998811,0.17150550223836128
ES,EMA50,2R,0.9243474566797093,vol normal,DEV,957,18.901059966904484,0.8400909516399123
ES,EMA50,2R,0.9243474566797093,vol normal,VAL1,211,5.212524809180465,0.13054086253761696
ES,EMA50,2R,0.9243474566797093,vol normal,VAL2,717,-13.401288524978286,-0.6596818740944086
ES,EMA50,2R,0.9243474566797093,vol alta,DEV,845,-9.137743498517755,-0.43338363243028627
ES,EMA50,2R,0.9243474566797093,vol alta,VAL1,223,-60.56600406880834,-1.8350952452887268
ES,EMA50,2R,0.9243474566797093,vol alta,VAL2,555,-9.600542926337328,-0.42320941830889636
ES,EMA50,3R,0.9243474566797093,vol baja,DEV,818,-19.0858188554019,-0.6326173656144004
ES,EMA50,3R,0.9243474566797093,vol baja,VAL1,308,10.17236023416617,0.24213172288754828
ES,EMA50,3R,0.9243474566797093,vol baja,VAL2,525,18.87744155650676,0.6013462581819514
ES,EMA50,3R,0.9243474566797093,vol normal,DEV,896,13.91336996778697,0.5003487817729898
ES,EMA50,3R,0.9243474566797093,vol normal,VAL1,203,20.23823672246427,0.411453256075745
ES,EMA50,3R,0.9243474566797093,vol normal,VAL2,687,-3.8048648852365745,-0.150819834310136
ES,EMA50,3R,0.9243474566797093,vol alta,DEV,804,-6.083970803313705,-0.23466513490222582
ES,EMA50,3R,0.9243474566797093,vol alta,VAL1,209,-93.39594983917719,-2.5331288941406576
ES,EMA50,3R,0.9243474566797093,vol alta,VAL2,529,-1.8167009360371675,-0.06482508773305284
ES,EMA50,cierre del día,0.9243474566797093,vol baja,DEV,778,-10.631359579629807,-0.2661173661674678
ES,EMA50,cierre del día,0.9243474566797093,vol baja,VAL1,289,57.988961022580376,0.8950861573338587
ES,EMA50,cierre del día,0.9243474566797093,vol baja,VAL2,486,94.82997895100381,1.9004086501560822
ES,EMA50,cierre del día,0.9243474566797093,vol normal,DEV,850,8.787319558676927,0.2357892760905586
ES,EMA50,cierre del día,0.9243474566797093,vol normal,VAL1,194,63.73077669903297,0.7820856592672913
ES,EMA50,cierre del día,0.9243474566797093,vol normal,VAL2,637,-22.335139259164624,-0.6253128188242909
ES,EMA50,cierre del día,0.9243474566797093,vol alta,DEV,750,21.476975645433193,0.5577468056303028
ES,EMA50,cierre del día,0.9243474566797093,vol alta,VAL1,194,-125.0939127949113,-2.6957184034280153
ES,EMA50,cierre del día,0.9243474566797093,vol alta,VAL2,487,70.22395773786289,1.362699281080791
ES,0.1 ATR,2R,0.9243474566797093,vol baja,DEV,1033,-18.545011781269043,-1.256140610122011
ES,0.1 ATR,2R,0.9243474566797093,vol baja,VAL1,372,-68.33140456989088,-2.888889424559248
ES,0.1 ATR,2R,0.9243474566797093,vol baja,VAL2,601,-1.483431696924759,-0.07571693329258973
ES,0.1 ATR,2R,0.9243474566797093,vol normal,DEV,1317,-4.207246084831818,-0.3187379800995919
ES,0.1 ATR,2R,0.9243474566797093,vol normal,VAL1,232,10.836912202380116,0.34078742972673043
ES,0.1 ATR,2R,0.9243474566797093,vol normal,VAL2,766,-18.5555531467203,-1.082410322181656
ES,0.1 ATR,2R,0.9243474566797093,vol alta,DEV,960,-49.23801947779342,-3.302583181801516
ES,0.1 ATR,2R,0.9243474566797093,vol alta,VAL1,237,-11.335984177734991,-0.3672974483650187
ES,0.1 ATR,2R,0.9243474566797093,vol alta,VAL2,570,-9.062864212565147,-0.4529312570913466
ES,0.1 ATR,3R,0.9243474566797093,vol baja,DEV,961,-15.825060214607193,-0.8408023045198053
ES,0.1 ATR,3R,0.9243474566797093,vol baja,VAL1,351,-60.49994854564281,-2.0385796372260185
ES,0.1 ATR,3R,0.9243474566797093,vol baja,VAL2,566,48.506193025584885,1.8779822681126002
ES,0.1 ATR,3R,0.9243474566797093,vol normal,DEV,1220,0.8871400305749667,0.05255673345619646
ES,0.1 ATR,3R,0.9243474566797093,vol normal,VAL1,218,35.59283192586741,0.8617249043840398
ES,0.1 ATR,3R,0.9243474566797093,vol normal,VAL2,726,-16.43833556553669,-0.7627846948039753
ES,0.1 ATR,3R,0.9243474566797093,vol alta,DEV,902,-44.57569765717467,-2.383390193196794
ES,0.1 ATR,3R,0.9243474566797093,vol alta,VAL1,218,-26.938297620520835,-0.6965204752814804
ES,0.1 ATR,3R,0.9243474566797093,vol alta,VAL2,541,-7.895021564298441,-0.3139382304186925
