entry_date,exit_date,dias,pnl,mae
2011-01-21,2011-01-25,2,33.212,0.0
2011-02-23,2011-02-25,2,42.962,-17.75
2011-05-02,2011-05-09,5,-13.788,-37.25
2011-07-12,2011-07-19,5,53.962,-26.5
2012-03-06,2012-03-07,1,19.712,8.0
2012-03-23,2012-03-26,1,46.712,16.25
2012-03-30,2012-04-02,1,27.962,-7.5
2012-04-20,2012-04-25,3,31.712,-48.25
2012-08-01,2012-08-03,2,40.212,-29.0
2012-09-11,2012-09-13,2,44.462,-9.25
2012-09-26,2012-09-27,1,37.462,1.0
2012-12-21,2012-12-31,4,-4.288,-67.0
2013-03-19,2013-03-22,3,12.962,-19.5
2013-04-15,2013-04-22,5,9.212,-68.25
2013-05-24,2013-05-28,1,18.462,9.75
2013-08-16,2013-08-22,4,27.212,-13.5
2013-09-24,2013-09-26,2,12.712,-17.25
2013-11-01,2013-11-08,5,-11.288,-58.5
2013-11-20,2013-11-21,1,34.462,12.75
2013-12-12,2013-12-16,2,27.712,-11.0
2014-01-06,2014-01-07,1,30.212,9.5
2014-01-27,2014-01-30,3,21.212,-48.0
2014-08-07,2014-08-11,2,50.462,-10.5
2014-09-15,2014-09-18,3,72.712,-18.25
2014-09-26,2014-10-03,5,-27.288,-117.0
2015-01-02,2015-01-08,4,10.962,-140.5
2015-03-25,2015-03-30,3,51.962,-49.5
2015-04-29,2015-05-04,3,-7.288,-94.25
2015-06-26,2015-07-01,3,-58.038,-109.0
2015-07-23,2015-07-28,3,-44.788,-99.0
2015-08-04,2015-08-05,1,34.712,21.0
2015-11-11,2015-11-17,4,-68.538,-149.25
2016-04-11,2016-04-13,2,94.462,-24.75
2016-04-26,2016-05-02,4,-74.788,-149.25
2016-06-13,2016-06-20,5,-26.038,-64.75
2016-10-13,2016-10-18,3,35.212,-13.25
2016-10-27,2016-11-03,5,-157.538,-162.0
2016-12-30,2017-01-04,2,66.962,15.0
2017-04-13,2017-04-20,4,86.962,13.5
2017-06-16,2017-06-19,1,90.462,43.0
2017-07-31,2017-08-02,2,29.212,-25.5
2017-08-25,2017-08-29,2,40.712,-37.75
2017-12-27,2018-01-02,3,71.212,-42.5
2018-03-01,2018-03-05,2,130.962,-107.0
2018-03-14,2018-03-21,5,-196.538,-245.25
2018-06-19,2018-06-20,1,52.962,27.75
2018-06-25,2018-07-02,5,59.962,-89.5
2018-07-20,2018-07-24,2,52.962,-51.0
2018-07-30,2018-08-02,3,176.712,-13.25
2018-08-13,2018-08-20,5,-30.788,-94.25
2018-09-06,2018-09-11,3,52.712,-56.25
2019-03-08,2019-03-11,1,145.962,26.75
2019-05-02,2019-05-03,1,119.712,46.0
2019-05-08,2019-05-15,5,-112.788,-315.75
2019-06-25,2019-07-01,4,170.712,22.25
2019-07-31,2019-08-07,5,-301.038,-498.5
2019-09-10,2019-09-11,1,70.212,-7.25
2020-02-24,2020-03-02,4,-208.788,-653.75
2020-08-11,2020-08-12,1,276.462,88.75
2020-09-08,2020-09-15,5,369.712,-131.0
2020-10-16,2020-10-23,5,-147.788,-316.0
2021-02-18,2021-02-24,4,-343.288,-880.5
