forma,winrate,gan_media_nq,perd_media_nq,por_trade_nq,t,años_pos,peor_racha,peor_caida_mnq,por_año_mnq,DEV_nq,DEV_t,VAL1_nq,VAL1_t,VAL2_nq,VAL2_t
objetivo 0.5R,0.6667970277669144,368.57634828255493,-734.2331271489219,1.1169532619768239,0.19103113666194904,9/17,7,5263.381252661707,75.04947567262087,6.1175285470019345,0.6678637102611368,7.94620879965545,0.5742425959073596,-6.793644624509126,-0.7522056438307124
objetivo 0.75R,0.5768360419666735,559.0886488926825,-751.401154566117,4.536596698740798,0.6095415644145861,11/17,11,5098.991474081913,289.7395167492134,8.212625158983256,0.7059687240699468,-4.162458392444976,-0.2326453420952384,3.8453591896161483,0.33583376957098116
objetivo 1R,0.5146079484425349,749.7203592862428,-755.5523950252157,19.07292891744793,2.158973925102721,12/17,15,3673.8713130830442,1166.5114700678555,25.026580635117256,1.8194850050813514,13.164517108673952,0.6201401413446335,14.744793312881685,1.0809780939040678
objetivo 1.5R,0.42070971495055265,1114.9698500074403,-756.1975456753563,31.020755987120978,2.7442754660358717,13/17,15,4674.817931083777,1751.540568893243,39.51802440541156,2.244062888385329,18.57062577823964,0.6927695895586311,26.317813140620856,1.5028821680284474
objetivo 2R,0.35754950495049503,1478.6612407656457,-748.6364733317757,47.73272172112657,3.5386739011270287,15/17,19,6065.738173388335,2533.666805518485,50.05898414918257,2.392748301909611,59.943215278582294,1.8404104479843986,40.29355250986523,1.9316640088681134
objetivo 3R,0.2838632113278119,2094.723126879072,-737.7708291783227,66.27000125474734,3.9288384239416936,14/17,23,6176.722406487409,3259.032893822881,65.47963631882304,2.530528115513592,81.72049724709126,1.962378840566515,61.16337961893183,2.3360381659189366
50% en 0.5R + BE + resto 2R,0.6577098896198016,380.5314191599945,-693.8333604472443,12.786980159635162,1.819736898260961,12/17,7,3279.965399036125,753.4144711429999,18.347246565746715,1.6605009353265647,25.684327174596792,1.5497567703692012,1.5978163066623121,0.14800483041838236
50% en 1R + BE + resto 3R,0.5130369064113868,761.111625496507,-728.7131548922789,35.6219415334077,3.3176662670120383,14/17,14,3600.0974423796297,1857.8272587616887,38.40434820621733,2.315210842319091,46.25624007196719,1.759611894527226,28.297264534529948,1.7061147135118713
50% en 1R + BE + resto al cierre,0.5133178527523562,773.6330849019133,-709.0258627925821,52.0494446020243,3.9363319796443386,15/17,14,4180.367046110444,2503.2743469947295,55.21117620725452,2.6831618795077854,43.44482524914542,1.4179794326450852,51.66291992500026,2.513956307595201
50% en 0.5R + BE + resto al cierre,0.657164105106594,399.31994585545493,-666.2885726101994,33.9910958212457,3.508312030686273,14/17,7,3895.0315056045947,1801.5777005637174,41.77522903591732,2.7242583168237675,20.793239175966395,0.9673418512560445,30.152074146550593,2.013549697563234
