filtros,n_filtros,trades,por_dia,R_medio,wr,DEV_R,DEV_t,VAL1_R,VAL1_t,VAL2_R,VAL2_t,años_pos
ninguno (base),0,8080,2.2658440830061695,0.030356187754735805,0.35754950495049503,0.03587634250958611,1.5159775584243418,0.05008147085020495,1.2320587076464249,0.01633133276596291,0.6477413310837403,12/17
stop no minúsculo,1,5660,1.5872125630959057,0.06776140265403811,0.36731448763250885,0.06721838830385635,2.4534511424360606,0.08968576961304103,1.7782946377923148,0.05999608711880196,1.935622116765167,14/17
día a favor,1,3975,1.1146943353897925,0.08785393374820878,0.37610062893081764,0.08829566368959532,2.626676958880974,0.116784633138913,1.9156587548357153,0.07710692841876879,2.1555649919181517,15/17
EMA20 inclinada a favor,1,3921,1.0995513180033651,0.07446710951386208,0.3710788064269319,0.09164471093574483,2.725505817834394,0.1075998498763054,1.7740487354367116,0.041905167345575485,1.1593102622853668,14/17
día con rango,1,3931,1.102355580482333,0.06853888716008293,0.37038921394047314,0.1006697761278433,2.98358158972065,0.06976918101771643,1.149927445832419,0.03045631564106186,0.8458966017181889,13/17
stop no minúsculo + EMA20 inclinada a favor,2,3647,1.022714526079641,0.08482476097448007,0.3742802303262956,0.08960478734822606,2.593973420035093,0.13647620259502385,2.1541135071217243,0.059770856794081756,1.5792098098605636,13/17
stop no minúsculo + día a favor,2,3530,0.9899046550757151,0.09895864094290838,0.3793201133144476,0.10043137608703094,2.8444132083374782,0.1325162650733123,2.036987329079222,0.08517641944255967,2.2229816099767996,15/17
día a favor + día con rango,2,2614,0.7330342120022434,0.08356575501163745,0.37605202754399386,0.10239174768992697,2.4897627997204927,0.17583718381561422,2.2451933227078937,0.03152444877203845,0.7260041163848362,13/17
stop no minúsculo + día con rango,2,3259,0.9139091418956814,0.09013270235740138,0.37649585762503834,0.11510828241578261,3.1684340921099468,0.09687198493969275,1.42305970735524,0.05618326999546703,1.397040971526742,13/17
EMA20 inclinada a favor + día a favor,2,2568,0.7201346045989905,0.11012417760294481,0.3847352024922118,0.1187779873799003,2.8655695563544525,0.15843298907450146,2.066032094454389,0.08282589052512349,1.8582027212863956,15/17
EMA20 inclinada a favor + día con rango,2,2533,0.7103196859226023,0.08695692835462517,0.3770232925384919,0.12218418293142731,2.9245272573111554,0.10519767133289054,1.376044315358156,0.03848154286547234,0.8611997167666295,14/17
stop no minúsculo + día a favor + día con rango,3,2389,0.6699383062254627,0.09654443565808539,0.3800753453327752,0.11108753251179669,2.6053770589460816,0.18107282199503094,2.2184622614267724,0.05045053204457881,1.0970355396647176,14/17
stop no minúsculo + EMA20 inclinada a favor + día a favor,3,2531,0.7097588334268088,0.1104461579052399,0.3848281311734492,0.11536304690411979,2.771324645183957,0.1603132441964911,2.081730158635546,0.08670314166198374,1.9238015442954366,15/17
EMA20 inclinada a favor + día a favor + día con rango,3,1787,0.5011217049915873,0.10780288541987078,0.38612199216564075,0.11540776580307419,2.343761864497119,0.2211095077305075,2.3474843468151496,0.060147710047941574,1.1366915423362969,14/17
stop no minúsculo + EMA20 inclinada a favor + día con rango,3,2384,0.6685361749859787,0.10154095604017951,0.38171140939597314,0.1249216221520495,2.928583331097782,0.13487435705227155,1.6857007425844255,0.061016855534313415,1.3124471539235776,14/17
stop no minúsculo + EMA20 inclinada a favor + día a favor + día con rango,4,1763,0.49439147504206393,0.1099431029525692,0.38684061259217245,0.11295238855141523,2.287071630452784,0.2247192972844076,2.3708369414369646,0.06687394234781413,1.2496152161209648,14/17
