label,n,wr,exp_pts,avg_win,avg_loss,pf,total_pts,t,max_dd_pts,params,exp_A,wr_A,n_A,exp_B,wr_B,n_B,DEV_n,DEV_atr%,DEV_t,DEV_wr,DEV_costo%,VAL1_n,VAL1_atr%,VAL1_t,VAL1_wr,VAL1_costo%,VAL2_n,VAL2_atr%,VAL2_t,VAL2_wr,VAL2_costo%
ORB_go,3822,0.5036630036630036,0.046703296703296704,14.450454545454546,-14.569649446494465,1.0064583531199545,178.5,0.14352110161231482,981.25,"{""K"": 5, ""stop_x_or"": 0.5, ""tgt_x_or"": 0.5, ""salida"": 1200}",-0.25499001996007986,0.5029940119760479,501,0.9006539235412475,0.5070422535211268,497,2034,0.25432283705405734,0.9901172819160907,0.5054080629301868,2.0022145350427145,542,0.15988012553572842,0.2901741377661554,0.492619926199262,0.6871653882739683,1246,0.11762162179870192,0.3405867525118199,0.5056179775280899,0.33419602514185676
ORB_go,3822,0.5039246467817896,0.06142072213500785,14.473390446521288,-14.578586497890296,1.0084928186389783,234.75,0.18862720634302965,966.5,"{""K"": 5, ""stop_x_or"": 0.5, ""tgt_x_or"": 0.5, ""salida"": 1559}",-0.25499001996007986,0.5029940119760479,501,0.9811368209255533,0.5090543259557344,497,2034,0.24929557324075852,0.9686362889531064,0.5054080629301868,2.0022145350427145,542,0.20538580603296333,0.3694391548581019,0.492619926199262,0.6871653882739683,1246,0.13362155779895793,0.38658439000841094,0.5064205457463884,0.33419602514185676
ORB_go,3822,0.35086342229199374,0.6247056514913658,28.49254287844892,-14.438079403466345,1.0666545694375138,2387.625,1.3588788787278292,1215.25,"{""K"": 5, ""stop_x_or"": 0.5, ""tgt_x_or"": 1.0, ""salida"": 1200}",1.3540419161676647,0.3592814371257485,501,1.437625754527163,0.3420523138832998,497,2034,0.818463659435049,2.2175053838303675,0.3534906588003933,2.0022145350427145,542,0.07377699649304548,0.09537986421023305,0.3284132841328413,0.6871653882739683,1246,0.7669168801460826,1.5639707600499348,0.3563402889245586,0.33419602514185676
ORB_go,3822,0.348246991104134,0.6564952904238619,29.0354996243426,-14.507075471698114,1.069433442754508,2509.125,1.410627176932777,1212.875,"{""K"": 5, ""stop_x_or"": 0.5, ""tgt_x_or"": 1.0, ""salida"": 1559}",1.3919660678642714,0.35528942115768464,501,1.6833501006036218,0.3440643863179074,497,2034,0.7823987796927642,2.0994959085018046,0.3500491642084562,2.0022145350427145,542,0.04905657241858833,0.06264405376903477,0.32656826568265684,0.6871653882739683,1246,0.8109126818042058,1.6325383252400083,0.3547351524879615,0.33419602514185676
ORB_go,3822,0.24385138670852957,1.2277930402930404,49.080203862660944,-14.204195501730103,1.1143145118315718,4692.625,1.965646666502941,1161.25,"{""K"": 5, ""stop_x_or"": 0.5, ""tgt_x_or"": 2.0, ""salida"": 1200}",3.560878243512974,0.26746506986027946,501,2.3302313883299797,0.23138832997987926,497,2034,0.8417679263061559,1.6966023701528166,0.23647984267453295,2.0022145350427145,542,1.456668526166107,1.3644493720102573,0.24723247232472326,0.6871653882739683,1246,1.369775660713209,2.058804588598543,0.25441412520064205,0.33419602514185676
ORB_go,3822,0.22318158032443747,1.0233843537414966,54.842907385697536,-14.439078814415629,1.09123884335354,3911.375,1.5781301107818373,1487.375,"{""K"": 5, ""stop_x_or"": 0.5, ""tgt_x_or"": 2.0, ""salida"": 1559}",2.877245508982036,0.2375249500998004,501,3.5032696177062372,0.21730382293762576,497,2034,0.7109965681803795,1.3832088509314218,0.21730580137659783,2.0022145350427145,542,1.1046967975124977,0.9912124618230083,0.22693726937269373,0.6871653882739683,1246,1.3814841049312079,1.962934009892317,0.23113964686998395,0.33419602514185676
ORB_go,3822,0.6614338042909471,-0.3637166405023548,14.34251384493671,-29.094281298299844,0.9630757277943052,-1390.125,-0.7898208766461433,4106.75,"{""K"": 5, ""stop_x_or"": 1.0, ""tgt_x_or"": 0.5, ""salida"": 1200}",-3.2964071856287425,0.6367265469061876,501,1.290241448692153,0.6659959758551308,497,2034,0.38897227120778916,1.099245318689997,0.668141592920354,2.0022145350427145,542,-0.7766832293711263,-0.9883192591215164,0.6457564575645757,0.6871653882739683,1246,-0.24993604801560435,-0.5116521232607965,0.6573033707865169,0.33419602514185676
ORB_go,3822,0.663788592360021,-0.33758503401360546,14.402148206543162,-29.43852140077821,0.9658921183763565,-1290.25,-0.7293363295388345,4220.75,"{""K"": 5, ""stop_x_or"": 1.0, ""tgt_x_or"": 0.5, ""salida"": 1559}",-3.4276447105788423,0.6367265469061876,501,1.1172032193158954,0.6680080482897385,497,2034,0.38650036586835423,1.0857774840521137,0.6691248770894789,2.0022145350427145,542,-0.5187340337276669,-0.6560319444090541,0.6512915129151291,0.6871653882739683,1246,-0.24996181754487432,-0.5071195899112528,0.6605136436597111,0.33419602514185676
ORB_go,3822,0.5041862899005756,0.25601779173207745,27.87363777893098,-27.82796833773087,1.0185553912087077,978.5,0.4071057048794413,3634.5,"{""K"": 5, ""stop_x_or"": 1.0, ""tgt_x_or"": 1.0, ""salida"": 1200}",-1.6457085828343314,0.499001996007984,501,1.5940643863179074,0.5110663983903421,497,2034,0.5449895674532326,1.109898066594526,0.504424778761062,2.0022145350427145,542,-0.6803755282649512,-0.645856212224187,0.477859778597786,0.6871653882739683,1246,0.5697128097686446,0.8567380520047476,0.5152487961476726,0.33419602514185676
ORB_go,3822,0.5023547880690737,0.28420983778126635,28.922005208333335,-28.62460567823344,1.019951693483212,1086.25,0.43986362088017433,3441.0,"{""K"": 5, ""stop_x_or"": 1.0, ""tgt_x_or"": 1.0, ""salida"": 1559}",-1.4186626746506985,0.499001996007984,501,1.7072434607645874,0.5090543259557344,497,2034,0.3973327597547783,0.7852409202112528,0.5009832841691249,2.0022145350427145,542,-0.7084251114837007,-0.6526824591576275,0.48154981549815495,0.6871653882739683,1246,0.6525490340813418,0.9520574856304024,0.5136436597110754,0.33419602514185676
