d,gap,atr,g_atr,t_fill,t_onh,t_onl,t_pdh,t_pdl,open_in_on,open_in_pd,r_first30,r_1000_1530,r_last30,r_1530,r_rest,year
30,11.0,158.03571428571428,0.0696045197740113,930.0,,937.0,930.0,,True,True,-0.004946365261777826,0.00046364820631921653,-0.0007490770651145576,-0.0037014670157220083,-0.00028542885879519853,2021
31,-11.75,157.58928571428572,-0.07456090651558073,953.0,967.0,934.0,,933.0,True,True,0.0023186968616245333,-0.00290814574400254,-0.0025583011099700116,-0.0014283676189394735,-0.005466446853972462,2021
32,146.25,160.5,0.9112149532710281,996.0,,958.0,930.0,1076.0,True,False,-0.005403689070520015,-0.001301955792575125,0.0005174182728399872,0.0037190051625680246,-0.0007845375197352213,2021
33,-102.0,164.83928571428572,-0.6187845303867403,995.0,991.0,,,,True,True,0.003855711671283568,-0.002616676523498221,-0.0006642192526694304,-0.006065233067649221,-0.0032808957761677354,2021
34,54.0,167.33928571428572,0.32269768434532065,938.0,930.0,1013.0,,1031.0,True,True,-0.002884195365721838,-0.005504799106306137,-0.000559369911462721,-0.004517605616995802,-0.006064169017768934,2021
35,-107.25,170.78571428571428,-0.6279799247176914,,,932.0,,930.0,True,False,-0.010238685292799943,-0.005288239109672328,0.005288239109672291,-0.023300181274499506,0.0,2021
36,86.0,177.92857142857142,0.48334002408671217,964.0,932.0,1275.0,,,True,True,-0.002468392136726742,-0.008604575979165698,0.001144185999667762,-0.004771080515160529,-0.007460389979497771,2021
37,-9.25,184.46428571428572,-0.05014520813165537,938.0,1105.0,932.0,,930.0,True,True,-0.004216996280133825,0.00718411141917822,0.005249163195311741,0.0022844519883341765,0.012433274614489911,2021
38,118.0,193.58928571428572,0.6095378655105618,,,,930.0,,True,False,0.0006350070517731104,0.0004895872152336015,-0.0017055252251787388,0.009727738609697343,-0.001215938009945026,2021
39,-56.75,190.5,-0.2979002624671916,,,930.0,,930.0,True,False,-0.008312934677281615,-0.010572915999379278,-0.0027539512390732804,-0.023016546484435196,-0.013326867238452656,2021
40,-243.0,197.26785714285714,-1.2318276455146193,1168.0,1168.0,,,930.0,True,False,0.011884689971514114,0.006430289274656419,-0.0009507210350079523,3.726615488252219e-05,0.005479568239648562,2021
41,-211.25,201.91071428571428,-1.0462545325904307,,,993.0,,996.0,True,True,0.0018931153070765783,-0.011795506127342616,-0.0003253931064513376,-0.025787527132450538,-0.012120899233794035,2021
42,122.5,203.96428571428572,0.600595342321835,1178.0,930.0,,,,True,True,0.002878680825843009,-0.0017034811909953608,-0.0029595923708862753,0.01051197979642222,-0.004663073561881664,2021
43,134.5,205.5,0.6545012165450121,,958.0,,930.0,,True,False,0.002704633330462559,0.010096288956023816,-0.0013935989620149206,0.022970950019036665,0.008702689994009057,2021
44,-71.0,212.17857142857142,-0.3346238007069517,,,930.0,,1157.0,True,True,-0.0020396141161251077,-0.0024567963371499068,0.003916759910217464,-0.009791176542316163,0.0014599635730675484,2021
45,39.25,214.89285714285714,0.18264916071131793,950.0,,1234.0,930.0,,True,False,-0.0013249607715904305,-0.0025428654578687005,-0.006008843542041856,-0.0009356288107691543,-0.008551708999910534,2021
46,-228.75,221.21428571428572,-1.03406522441072,1223.0,1223.0,,,930.0,True,False,0.004531686484114488,0.012701110989341758,0.0014493983770477476,-0.0001506846737702976,0.014150509366389324,2021
47,61.5,223.44642857142858,0.2752337568928314,,930.0,,930.0,,True,False,0.006922250589132194,0.010174721490411704,-0.002635484712732914,0.021713490872136466,0.007539236777678809,2021
48,65.25,231.28571428571428,0.282118591723286,946.0,930.0,946.0,930.0,,True,False,-0.0006613878362018293,-0.007026632257997466,-0.0028542323148652874,-0.002883018075278049,-0.00988086457286283,2021
49,100.0,231.19642857142858,0.43253263304240364,,932.0,,940.0,,True,True,0.005127038382163415,0.00668617763062864,-0.0023880064212387035,0.01920997298849613,0.00429817120938982,2021
50,63.75,222.39285714285714,0.2866548899951823,994.0,,1046.0,930.0,,True,False,-0.003585179049687006,-7.292882150259092e-05,0.0003828169908116909,0.0009850600041324997,0.00030988816930903286,2021
51,29.5,216.89285714285714,0.13601185575498106,962.0,,950.0,,,True,True,-0.0010735960125372469,0.002255038418328372,-1.816546925992893e-05,0.0033297882781405984,0.0022368729490685117,2021
52,-16.5,206.44642857142858,-0.07992388201712654,983.0,995.0,,,935.0,True,True,-0.0021666508243749715,0.0001093553503194622,-0.0003463329752721047,-0.0032569466285449324,-0.00023697762495260147,2021
53,51.25,201.28571428571428,0.2546132008516679,,940.0,,937.0,,True,True,0.0013975988988657343,3.627525665134229e-05,-0.0023788133499435095,0.0051643051150299345,-0.002342538093292047,2021
55,61.75,185.30357142857142,0.3332369663679291,972.0,930.0,974.0,940.0,972.0,True,True,-0.002137991827588242,-0.0038526589170030825,-0.001366531137250657,-0.0015101208237109987,-0.005219190054253747,2021
56,16.0,177.42857142857142,0.09017713365539454,1162.0,933.0,1188.0,,,True,True,0.0008737758592844492,-0.002806073159203603,0.0024602948360589335,-0.0007660739088744984,-0.0003457783231445176,2021
