franja,DEV_atr%,DEV_t,DEV_n,VAL1_atr%,VAL1_t,VAL1_n,VAL2_atr%,VAL2_t,VAL2_n
18:00,-0.6172331343024763,-2.4918695290884925,1117,0.5543444116347214,1.0213405692909872,439,-0.05408765462570996,-0.20017799573624198,1014
18:30,0.003779675293424454,0.016309231803939613,808,-0.3888791218772432,-0.9422217043736951,439,-0.049281194645797555,-0.29017086793093777,1014
19:00,0.5122507967911851,2.546874467277778,912,0.5188421078871671,1.286078817396989,439,-0.10696396736042087,-0.5291832187450798,1014
19:30,0.18449398614437254,0.9065311171980018,1002,0.1595354519708884,0.3680215187824334,438,0.02238231017884265,0.11426343995384519,1014
20:00,0.2817869017765569,1.1743732811283625,1286,0.5635027606188406,1.125516352586968,439,0.15207872814027235,0.580706183930409,1014
20:30,-0.3863371527036596,-1.60905797628124,1232,0.5957400522430828,1.251043411657706,439,0.09401217635649436,0.4266360089142678,1014
21:00,-0.022402789915833374,-0.08479895905975543,1212,0.559526586435773,1.1078656783639218,438,0.07231764047821168,0.353106802169149,1014
21:30,0.02113671173675309,0.0868995409782477,1202,0.48898801681845094,0.9468755682491632,438,0.3591460740143096,1.6228533992525593,1014
22:00,-0.13372128567862607,-0.4726956333507093,1111,0.08262093835881522,0.201113661312501,438,0.0692335676349693,0.3777552180742824,1014
22:30,-0.3202414364422892,-1.252038139220701,1034,-0.18042257265628514,-0.4868757090805535,438,-0.13737558936725874,-0.8811479221467491,1014
23:00,0.17078392841164983,0.7955995161938169,949,-0.3607951907144179,-1.1698764040662468,439,0.39885426815829267,2.74449037705813,1013
23:30,0.1264419068657028,0.53000235330019,935,-0.09633070867571618,-0.3100914986121361,439,-0.12167894981562949,-0.9033947942731674,1014
00:00,0.18531686984803264,0.8310752335603576,1067,0.03437018303467663,0.14352226996724346,541,-0.17580892476821822,-1.1906879159948187,1245
00:30,0.16582678151044541,0.9020532080997617,1035,0.5016774360387758,1.6249889766796735,541,0.1470232536241995,1.1070295615762553,1245
01:00,-0.20473130862024067,-1.0993304152747276,1184,0.22003447318349698,0.6641697566231194,541,0.09394580707744148,0.5583382492349008,1246
01:30,0.3279866163628528,1.8586284702902451,1225,0.32940663294287914,1.1170185487131494,541,0.24789451582183436,1.4416407285670725,1246
02:00,0.861925429447338,4.731275066260754,1807,0.10531188844320355,0.2276652693828832,541,0.11300762830984726,0.5112519565335414,1246
02:30,0.30440308327678034,1.6747795624805335,1718,0.18147848291307445,0.48873190101700215,541,-0.11490704112012724,-0.6079676840768141,1246
03:00,0.05162500952979975,0.2003565202076664,2015,0.37470409784679093,0.7007714809704482,541,0.12087232662147841,0.3721726717382217,1246
03:30,-0.18600224457683862,-0.7869269181374293,2006,0.2998592486458485,0.6534151194425564,541,0.4302149607993345,1.752955948766139,1246
04:00,-0.025585831010464008,-0.11387017454780354,2013,0.2210284437115389,0.44334595618495787,541,0.1872916549881179,0.6480832281681767,1246
04:30,0.1974317081676007,0.954453319382798,1995,0.1860537439937571,0.4736022441206984,542,-0.14412948022337624,-0.6506888987060296,1246
05:00,0.18064133291272186,0.8799314869475677,1995,0.10913131883412781,0.2339338425966808,542,-0.051701711954274227,-0.2493723142632694,1246
05:30,-0.05961961960795897,-0.31210144852522387,1982,0.08161296763572522,0.21881118619159742,541,0.028962745027668206,0.14573394285672123,1246
06:00,0.12876938700083002,0.6661091284372995,2006,-0.2392604142309217,-0.6066103772259914,541,-0.19733131731388007,-0.8467289516632301,1246
06:30,0.21094096071403895,1.2345076236979777,2008,0.45229153475790174,1.168147785803494,541,0.39855483203006353,1.9732814925549913,1246
07:00,0.7149047312119028,3.556805623180345,2019,0.2718233262297194,0.5908316061367834,542,0.24060420297026752,0.9240546595097567,1246
07:30,0.12513260954503225,0.6422265849513765,2024,-0.33608568164008407,-0.867301525260949,541,-0.2681830028740393,-1.0891615196947708,1246
08:00,0.32808280559710223,1.578515132434264,2032,0.10038987801719461,0.21282517727359593,541,0.04163892067259592,0.16183880600338066,1246
08:30,-0.16222657883014457,-0.5452172646439526,2033,0.5468818626609739,0.8989440725689525,541,-0.061282346726148566,-0.10533231388470014,1246
09:00,-0.07598698231189141,-0.34405108554390296,2033,-0.47233771861010965,-1.0173861938092383,541,-0.30200088429507044,-1.065220156216658,1246
09:30,0.3773618715780808,0.5695362735199558,2034,1.3541507511702227,1.017408070670445,542,0.4154744582513295,0.4983056160907322,1246
10:00,-0.14246356724087209,-0.27799162363027125,2034,0.37325360763699383,0.37572225050362495,542,-0.2988761416972787,-0.44038308770526063,1246
10:30,-0.44066376964291903,-0.97143974583601,2034,-0.49666908039073987,-0.5560969028014868,542,-1.4454981240140352,-2.4938961485099647,1246
11:00,0.6461250658531605,1.5843736488750668,2034,0.21993397307289128,0.26712698802996304,542,0.9435195126587391,1.8038762694496986,1246
11:30,-0.010623602452512152,-0.02816869626113813,2034,-0.24140275354719914,-0.3224922576744455,542,1.02235384919581,2.2110890468880338,1246
12:00,0.09340182712713316,0.27040528025387073,2034,0.08793929093161838,0.13422007877079292,542,-0.2988684861171327,-0.7075881950551107,1246
12:30,0.47056272293486123,1.5073950588563885,2034,0.20615484742897294,0.35376279997216575,542,-0.09905326859242276,-0.25120693033383845,1246
13:00,-0.15168784247482633,-0.4885081380419167,2034,0.8422282646907425,1.3390616947623322,542,-0.2521194816443732,-0.5731177642443576,1246
13:30,-0.11714626594993642,-0.35843088258835554,2034,-0.3565059625790615,-0.5940465302402613,542,0.5697695428276569,1.4254344617254653,1246
14:00,0.39465688310022323,1.0968283179156302,2034,0.6000346428186593,0.8434098234121934,542,-0.2630838217151448,-0.5812781634143213,1246
14:30,-0.004270207720410428,-0.012266174445352968,2034,0.7615664132034821,1.1373638207719687,542,1.1026199791390963,2.5341371249649733,1246
15:00,-0.09479056371492055,-0.26376313863939654,2034,-0.48928953312321655,-0.7365346881039437,542,-0.5938694046815051,-1.3881658410529856,1246
15:30,-0.1693030205066407,-0.40635823849584896,2034,0.13479384255856058,0.1436092665059802,542,0.028712451996615495,0.05428144773381622,1246
16:00,,,0,,,0,0.40806338482326165,1.107922537970507,1173
16:30,0.6920666244628587,2.6226479616094176,1748,0.5097668088642219,1.0880005798735666,542,0.13123431858297085,0.6187751302846274,1246
17:00,-1.403369506244152,-1.493653778162192,131,,,0,,,0
