sym,stop,objetivo,costo_hoy_pct_atr,trades,wr,neto_hoy_atr,neto_hoy_usd,t,DEV_usd_hoy,DEV_t,VAL1_usd_hoy,VAL1_t,VAL2_usd_hoy,VAL2_t,años_positivos,años
NQ,EMA50,2R,0.22945210821603687,8080,0.35754950495049503,0.69494756534276,47.732721721126524,3.5384549170059496,50.05898414918253,2.3927483019096094,59.94321527858223,1.8404104479843968,40.293552509865194,1.9316640088681116,15,17
NQ,EMA50,3R,0.22945210821603687,7486,0.2838632113278119,0.9648344860013436,66.27000125474729,3.928576002779595,65.47963631882298,2.5305281155135897,81.72049724709123,1.9623788405665146,61.16337961893179,2.3360381659189353,14,17
NQ,EMA50,cierre del día,0.22945210821603687,6625,0.1770566037735849,1.3741674645114375,94.38518307406255,3.662790028744626,99.83912957424742,2.5119862865938636,82.49039165544785,1.2867097868912691,92.35131376323272,2.3471368960067944,15,17
NQ,0.1 ATR,2R,0.22945210821603687,9135,0.35347564313081553,0.35148114757186505,24.14160814995483,2.346905759850276,30.96873578261812,2.04420660967906,8.310829166294074,0.3165333884531368,22.17955267186277,1.338438577422494,13,17
NQ,0.1 ATR,3R,0.22945210821603687,8261,0.2723641205665174,0.4591412188837684,31.53627859803838,2.3755007446422884,29.434404273562677,1.5216249813860379,53.29875612285627,1.5404046572114651,25.516133861073413,1.1874523594799868,13,17
NQ,0.1 ATR,cierre del día,0.22945210821603687,6962,0.17494972708991668,1.1893540329563401,81.69120652290373,3.318628191404793,77.39961120276436,2.117527135577319,39.95648028776453,0.664236765957632,104.2274262464715,2.620267779179714,15,17
ES,EMA50,2R,0.9243474566797093,5286,0.35017026106696936,-0.13459194899639648,-4.478887588440352,-0.5212752818307775,3.6531555191206677,0.2779396510408641,-27.615058271896604,-1.3649486932058033,-6.931721895744109,-0.5330123554984739,6,17
ES,EMA50,3R,0.9243474566797093,5022,0.27459179609717244,-0.08737661943928055,-2.9076780538852844,-0.2755169420056912,-3.3813879433237575,-0.21056530816829683,-17.053200707784168,-0.6786005607186929,3.639103874695499,0.22526501497468326,8,17
ES,EMA50,cierre del día,0.9243474566797093,4707,0.1931166347992352,0.5405899928964533,17.989499577599606,1.1678357071629577,5.6872973960317434,0.25844528830548863,7.170400787186601,0.18556113803314184,41.030405888471556,1.5846508884145505,9,17
ES,0.1 ATR,2R,0.9243474566797093,6159,0.3453482708231856,-0.5888017202745834,-19.59386677029817,-3.2457247134195004,-22.128349469888896,-2.721291529140537,-30.430139261795976,-1.8768746708949942,-10.465115519567195,-0.9654997161469172,3,17
ES,0.1 ATR,3R,0.9243474566797093,5766,0.2695109261186264,-0.33374124989766457,-11.106084376244826,-1.4452959262139689,-17.78065989131868,-1.7202451335048041,-24.585506303627795,-1.1971058266454306,6.136970521339861,0.443139601544915,5,17
ES,0.1 ATR,cierre del día,0.9243474566797093,5185,0.17531340405014464,0.4768514498355188,15.86843831390891,1.1318250861464882,0.9955319561204018,0.05284560672119362,2.5413444101509013,0.06643011149467984,46.76130366612505,1.8640403512047279,10,17
YM,EMA50,2R,0.6002557289635723,7829,0.34998084046493805,-0.06596837589192482,-1.7320311225548155,-0.33433055551638563,1.2890215849246363,0.16546819308778066,-4.355583870670377,-0.3323779703707331,-4.5357593624464645,-0.5584148743266762,9,17
YM,EMA50,3R,0.6002557289635723,7265,0.27377838953888506,0.06840908375710436,1.796113069796945,0.2800867252503015,6.655340366113442,0.6937572640631731,-8.863619248403943,-0.5527758972534993,-0.18647158708999942,-0.01833977269407715,9,17
YM,EMA50,cierre del día,0.6002557289635723,6557,0.16913222510294343,0.04504691013979414,1.1827280766298855,0.12511297763225182,7.64912626901431,0.5346665602637417,-26.53888753346637,-1.1352041552161078,3.713447010012738,0.25211108787690895,9,17
YM,0.1 ATR,2R,0.6002557289635723,8727,0.3544173255414232,0.009325910391602157,0.24485621824122492,0.060806696871248844,2.821424711204891,0.4881423897910318,-3.111255126653458,-0.2952568591239035,-1.8439347784556406,-0.2779458572317749,9,17
YM,0.1 ATR,3R,0.6002557289635723,7904,0.2699898785425101,0.041952600586834435,1.101485505836189,0.21228755950322736,4.877659689342166,0.6576582971593398,-5.014632948222054,-0.36856884967646575,-1.6155508005265709,-0.18811877832825635,8,17
YM,0.1 ATR,cierre del día,0.6002557289635723,6788,0.16838538597525043,0.05533586304043628,1.452869434537626,0.15750888277890254,8.554992742006602,0.634395976035503,-15.430576947837615,-0.6390152824491777,-1.6506919945058909,-0.1118332780714737,9,17
