,H1_n,H1_wr,H1_bp_bruto,nulo_tend_bp,H3_n,H3_wr_bruto,H3_bruto_%ATR,H3_costo_%ATR,H5_lunes_bp,resto_dias_bp
2010,1,1.0,149.59349593495935,59.20075607403669,21,0.7142857142857143,3.4302162576531035,3.408611316173155,-1.484430622981502,3.6622057408735906
2011,14,0.5,-64.07356725692193,-28.861214147990868,112,0.5178571428571429,-2.0529407582498296,2.609719443625989,-1.8799427387194216,0.6555541194074396
2012,15,0.6,45.79695908343985,16.529911599203334,94,0.5851063829787234,0.043892262612887006,2.707376416504231,17.994225555109963,-2.923618848307991
2013,20,0.85,41.94855990079982,25.263971455580126,125,0.664,1.6026926036023366,3.0331981373113632,-3.677168929595036,6.502664714041376
2014,14,0.5714285714285714,-1.0677995301311165,-0.31293988681564855,126,0.6349206349206349,0.5560010863333807,2.2141996905957253,-5.565632550287771,3.440743637679082
2015,18,0.5555555555555556,-19.550284048113557,-27.50407854798605,118,0.7203389830508474,2.8399352535673157,1.6096644448818123,7.049279216408505,-3.9010775669686133
2016,14,0.7857142857142857,27.25914436415409,9.00732925305821,141,0.6028368794326241,-0.20005513260665753,1.83087501357214,9.084598974231172,1.4034779779030104
2017,20,0.8,56.53563156541257,29.93439162650776,131,0.6870229007633588,1.2025564145149161,2.015773215880353,7.867192266136764,3.293830775005161
2018,13,0.6153846153846154,-17.72696590124445,-23.651578254264553,124,0.6774193548387096,0.7386659458358505,0.9496045875449521,-24.360987777821585,-0.38553113669433686
2019,15,0.8666666666666667,25.882470835698534,24.262895609222586,105,0.638095238095238,0.24148554575127668,1.075524612463846,5.517542912376896,8.050451697706482
2020,10,0.7,-13.187590782066042,50.60879958412072,149,0.6174496644295302,-0.8743339016384293,0.5525946578840109,60.18073531047103,-6.781429550226105
2021,16,0.6875,49.05021955844879,19.014438767101318,163,0.7300613496932515,2.200455808556192,0.4697007147771476,3.8836619481017296,4.113301255105859
2022,9,0.6666666666666666,65.1544236880633,-16.337726365117366,94,0.7446808510638298,3.4959931485037843,0.2731681458016647,4.235397367579162,-7.9908274165067255
2023,18,0.5555555555555556,26.2980104928492,30.97647708253861,98,0.6122448979591837,0.22952555414684478,0.40853517184723814,39.212985878542796,7.9192377829070235
2024,22,0.8636363636363636,95.0572515412998,35.57645592781054,127,0.6771653543307087,2.0012867622731174,0.37157082183741025,10.415801989478448,-6.031174433943215
2025,14,0.7857142857142857,80.03170350258021,22.33425269182607,158,0.7278481012658228,1.9925760484439785,0.2769787839626169,18.676720212994933,-3.109919836159308
2026,2,0.0,-135.1484896697517,-105.92507490502209,41,0.7560975609756098,3.1893281528770125,0.2455902172701246,77.74388174347523,-9.263362811876465
