,rth_o,rth_h,rth_l,rth_c,rth_n,on_h,on_l,on_o,seg,full,prev_c,prev_h,prev_l,prev_o,rng,atr,prev_rng,nr7,inside,gap,date,dow,net,atr%
3096,11043.75,11374.25,10995.25,11354.0,390.0,11101.75,10935.5,11061.25,48,True,11087.75,11328.75,11041.25,11111.0,379.0,296.17857142857144,287.5,False,False,-44.0,2022-10-21,4,-311.038,-104.75099481490413
3116,11837.75,11842.5,11607.0,11707.5,390.0,11843.0,11672.25,11747.75,48,True,11712.25,11775.0,11543.75,11551.0,235.5,266.69642857142856,231.25,False,False,125.5,2022-11-18,4,129.462,48.838299296953466
3136,11429.0,11491.5,11275.5,11342.25,390.0,11487.75,11312.5,11446.5,49,True,11460.5,11715.5,11404.0,11686.25,216.0,264.7142857142857,311.5,False,False,-31.5,2022-12-16,4,85.962,32.77118186724231
3159,11428.25,11686.75,11383.5,11676.25,390.0,11448.5,11365.25,11401.0,49,True,11360.5,11454.25,11308.5,11407.25,303.25,219.55357142857142,145.75,False,False,67.75,2023-01-20,4,-248.788,-112.95648637657585
3179,12390.0,12423.75,12265.75,12392.0,390.0,12466.25,12338.0,12462.5,49,True,12481.5,12694.25,12475.75,12524.0,158.0,261.19642857142856,218.5,False,False,-91.5,2023-02-17,4,-2.7880000000000003,-0.7657072537088946
3199,12712.5,12811.25,12569.5,12647.5,390.0,12767.75,12660.25,12708.0,50,True,12716.5,12735.75,12314.0,12345.25,241.75,236.98214285714286,421.75,False,False,-4.0,2023-03-17,4,64.212,27.428226961042874
3224,13057.75,13122.0,12982.5,13088.25,390.0,13107.75,13005.0,13089.0,50,True,13077.0,13200.0,13021.75,13051.5,139.5,178.14285714285714,178.25,False,False,-19.25,2023-04-21,4,-31.288,-17.121090617481958
3244,13898.25,13929.0,13814.25,13858.25,390.0,13960.25,13877.5,13908.5,50,True,13889.75,13901.25,13652.75,13653.75,114.75,159.60714285714286,248.5,False,False,8.5,2023-05-19,4,39.212,25.061535019019914
3264,15471.0,15475.5,15258.5,15274.75,390.0,15474.5,15315.0,15368.0,51,True,15377.5,15441.0,15114.5,15141.0,217.0,225.23214285714286,326.5,False,False,93.5,2023-06-16,4,195.462,87.13232379291208
3289,15688.25,15719.25,15522.25,15537.5,390.0,15717.5,15554.5,15590.75,51,True,15588.0,15895.0,15547.0,15833.75,197.0,182.85714285714286,348.0,False,False,100.25,2023-07-21,4,149.962,82.44140625
3309,14632.25,14802.75,14609.25,14750.25,390.0,14791.0,14620.0,14748.0,51,True,14772.25,15007.5,14754.5,14994.25,193.5,199.42857142857142,253.0,False,False,-140.0,2023-08-18,4,-118.788,-59.16905444126075
3329,15610.5,15627.5,15356.75,15390.75,390.0,15719.75,15592.25,15677.0,52,True,15672.5,15714.5,15531.0,15620.0,270.75,185.125,183.5,False,False,-62.0,2023-09-15,4,218.962,118.70357866306549
3354,14862.5,14886.0,14651.75,14661.25,390.0,14887.5,14796.0,14850.0,52,True,14885.75,15138.25,14852.25,15087.5,234.25,251.91071428571428,286.0,False,False,-23.25,2023-10-20,4,200.462,79.88941660168712
3374,15862.75,15940.0,15825.0,15897.5,390.0,15919.75,15860.0,15897.75,52,True,15897.25,15906.75,15796.75,15850.75,115.0,171.32142857142858,110.0,True,False,-34.5,2023-11-17,4,-35.538,-20.283510527412965
3394,16787.5,16887.25,16762.5,16819.75,390.0,16818.5,16732.25,16739.25,53,True,16755.5,16877.25,16628.0,16820.5,124.75,183.92857142857142,249.25,False,False,32.0,2023-12-15,4,-33.038,-17.533980582524272
3417,17190.75,17448.0,17166.25,17442.5,390.0,17255.25,17107.25,17116.0,53,True,17109.0,17125.75,16942.5,16997.0,281.75,187.625,183.25,False,False,81.75,2024-01-19,4,-252.538,-134.17721518987344
3437,17926.75,17930.0,17717.0,17747.0,390.0,18026.0,17903.0,17952.0,53,True,17914.0,17933.0,17780.5,17888.0,213.0,193.53571428571428,152.5,False,False,12.75,2024-02-16,4,178.962,92.8769145598819
3457,18152.5,18174.5,18006.25,18058.5,390.0,18322.75,18130.0,18251.0,54,True,18278.25,18398.0,18161.25,18375.25,168.25,207.91071428571428,236.75,False,False,-125.75,2024-03-15,4,93.212,45.21171519367861
3481,17495.0,17517.0,17113.25,17181.75,390.0,17553.25,17181.75,17530.75,54,True,17545.0,17746.0,17521.5,17673.5,403.75,262.30357142857144,224.5,False,False,-50.0,2024-04-19,4,312.462,119.4226972564504
3501,18651.25,18677.0,18545.0,18638.5,390.0,18686.75,18617.0,18642.0,54,True,18651.0,18760.75,18643.75,18678.75,132.0,192.44642857142858,117.0,False,False,0.25,2024-05-17,4,11.962,6.625220376728216
3526,20017.0,20072.75,19914.25,19975.0,390.0,20086.0,19947.75,20043.25,55,True,20035.25,20263.25,19958.25,20245.75,158.5,222.98214285714286,305.0,False,False,-18.25,2024-06-21,4,41.212,18.835589012573077
3546,19868.5,19976.5,19654.0,19711.75,390.0,19979.75,19753.5,19955.0,55,True,19891.25,20149.25,19758.75,20141.5,322.5,270.80357142857144,390.5,False,False,-22.75,2024-07-19,4,155.962,57.88328387734916
3566,19503.5,19660.75,19462.5,19603.5,390.0,19683.0,19447.5,19570.25,55,True,19587.25,19603.25,19336.25,19352.0,198.25,427.14285714285717,267.0,False,False,-83.75,2024-08-16,4,-100.788,-23.41137123745819
3591,20035.0,20084.0,19860.0,20032.75,390.0,20075.0,19981.0,20066.0,56,True,20081.5,20203.0,19964.0,20052.25,224.0,337.26785714285717,239.0,False,False,-46.5,2024-09-20,4,1.462,0.6671255360830199
3611,20465.75,20529.75,20433.0,20482.75,390.0,20508.5,20320.75,20384.0,56,True,20364.0,20576.0,20353.75,20573.25,96.75,249.10714285714286,222.25,False,False,101.75,2024-10-18,4,-17.788,-6.824372759856631
3631,20758.75,20773.75,20405.25,20491.75,390.0,20981.5,20752.5,20977.5,56,True,21008.5,21174.75,20971.25,21137.75,368.5,222.60714285714286,203.5,False,False,-249.75,2024-11-15,4,266.212,119.94224290068986
3656,21210.5,21812.25,21160.5,21567.5,390.0,21429.25,21006.5,21429.25,57,True,21376.75,21697.75,21363.0,21677.0,651.75,253.08928571428572,334.75,False,False,-166.25,2024-12-20,4,-357.788,-141.05693925068792
3674,21647.25,21672.0,21481.25,21600.75,390.0,21682.5,21209.25,21227.5,57,True,21248.0,21498.0,21243.5,21494.5,190.75,318.25,254.5,True,False,399.25,2025-01-17,4,45.712,14.611154752553023
3699,22186.25,22188.0,21662.5,21682.5,390.0,22245.5,22103.75,22136.0,57,True,22144.75,22225.5,21951.0,22209.5,525.5,260.625,274.5,False,False,41.5,2025-02-21,4,502.962,193.2853717026379
3719,19657.25,19974.0,19607.5,19953.0,390.0,19932.75,19602.25,19898.5,58,True,19881.25,20105.0,19756.0,19786.5,366.5,472.98214285714283,349.0,False,False,-224.0,2025-03-21,4,-296.538,-62.528787707177116
3758,21467.5,21512.0,21320.25,21505.75,390.0,21504.75,21348.75,21396.0,58,True,21419.5,21529.75,21247.75,21302.5,191.75,307.25,282.0,False,False,48.0,2025-05-16,4,-39.038,-12.449145646867372
3783,22075.0,22130.5,21765.0,21842.75,390.0,22103.0,21745.75,21748.25,59,True,21949.0,22097.75,21882.25,21993.0,365.5,242.28571428571428,215.5,False,False,126.0,2025-06-20,4,231.462,95.85790094339623
3803,23301.0,23310.0,23169.5,23226.5,390.0,23320.75,23245.25,23261.25,59,True,23257.75,23279.75,23065.75,23100.25,140.5,199.16071428571428,214.0,False,False,43.25,2025-07-18,4,73.712,37.40697570160495
3823,23909.25,23911.0,23734.5,23806.0,390.0,23963.0,23871.0,23888.75,59,True,23922.0,24007.75,23841.25,23857.75,176.5,253.76785714285714,166.5,True,False,-12.75,2025-08-15,4,102.462,40.68679192175076
3848,24767.75,24888.0,24708.0,24860.5,390.0,24784.75,24655.0,24717.75,60,True,24698.25,24816.0,24598.75,24679.5,180.0,212.66071428571428,217.25,False,False,69.5,2025-09-19,4,-93.538,-43.61407338987321
3868,24736.25,25055.75,24672.5,24989.0,390.0,24858.5,24410.0,24793.75,60,True,24830.75,25179.5,24643.5,25045.25,383.25,338.875,536.0,False,False,-94.5,2025-10-17,4,-253.538,-74.58502397639248
3893,24203.5,24596.25,23927.25,24313.75,390.0,24292.0,23904.5,24110.0,60,True,24138.25,25310.0,24098.0,25211.5,669.0,471.4107142857143,1212.0,False,False,65.25,2025-11-21,4,-111.038,-23.38724951702716
3913,25361.25,25600.25,25357.0,25580.75,390.0,25393.5,25209.75,25240.0,61,True,25251.75,25412.5,25161.25,25278.75,243.25,310.25,251.25,True,True,109.5,2025-12-19,4,-220.288,-70.74939564867043
3931,25868.0,25891.0,25591.5,25684.5,390.0,25878.0,25704.25,25720.5,61,True,25719.25,25952.75,25676.5,25924.75,299.5,255.30357142857142,276.25,False,False,148.75,2026-01-16,4,182.712,71.87521857732392
3956,24715.25,25139.5,24678.5,25074.75,390.0,24984.75,24696.75,24837.75,61,True,24863.5,24959.5,24749.0,24833.75,461.0,450.26785714285717,210.5,True,False,-148.25,2026-02-20,4,-360.288,-79.8413642673012
