date,n,wr_neto,bruto_atr,neto_pts,bruto_%ATR,costo_%ATR
2010,57,0.7368421052631579,0,-0.14435964912279972,2.670029786603037,3.3402279907176804
2011,346,0.630057803468208,0,-0.7495916597853033,0.45165841376495597,2.6499930572399757
2012,324,0.6327160493827161,0,-0.6780077160493813,0.5049156312056139,2.6847399367725253
2013,357,0.7086834733893558,0,-0.16997278911564787,2.173634880592897,2.9813035491705797
2014,407,0.6756756756756757,0,-0.36795349245349107,1.2232851300401337,2.2021821863683546
2015,333,0.6876876876876877,0,-0.2505482625482619,0.979425540641278,1.5989930793107516
2016,409,0.6479217603911981,0,-0.41992892071253074,0.5229410138617774,1.7644659176623032
2017,363,0.6556473829201102,0,-0.4137575757575745,0.9872500647515541,1.9981222422305631
2018,393,0.6972010178117048,0,0.345742275536172,1.4119582039364909,0.8948604028887432
2019,307,0.6449511400651465,0,-0.8964865053513297,0.21059240817906033,1.046904404594571
2020,379,0.662269129287599,0,-0.7263905013192772,0.3080625749527209,0.5166991869635709
2021,389,0.7043701799485861,0,1.9236186191700086,1.5397961298931322,0.46007323318161253
2022,290,0.6827586206896552,0,4.105848522167512,1.4777276077669281,0.2712119570820117
2023,325,0.6030769230769231,0,-2.0532472527472865,-0.6076534479910758,0.40589942655769334
2024,359,0.637883008356546,0,-1.748515320334251,0.06363159915458666,0.3555747518432736
2025,419,0.6515513126491647,0,-1.1156039890897156,0.13695397962950295,0.2705119917447829
2026,99,0.6363636363636364,0,-2.6299733044733316,-0.43301514517413026,0.24605158436720806
