sym,stop,objetivo,trail_EMA20,trades,por_dia,wr,gan_media_usd,perd_media_usd,pf,exp_usd,exp_R,t,DEV_usd,DEV_t,DEV_bruto_t,VAL1_usd,VAL1_t,VAL1_bruto_t,VAL2_usd,VAL2_t,VAL2_bruto_t
NQ,EMA50,1R,False,9310,2.427007299270073,0.5143931256713211,312.30363122048624,-339.07213550036323,0.9756527261913291,-4.00891887027216,-0.09774819826562003,-4.437253787533569,-11.322781441069882,-6.575445151904855,2.9652701244374176,-6.562772073087619,-0.6729734607407872,1.3625455442098713,5.0623755451718715,0.5796889638391907,2.2363835579497735
NQ,EMA50,1R,True,9881,2.5758602711157454,0.35563202105050096,267.6874297918048,-168.25095398622284,0.8780866001947759,-13.217305509753938,-0.12144426687612032,-11.248287450713818,-13.856328384330173,-13.526203673984474,1.734078866657383,-9.147899373595402,-2.2138218898389646,1.0233122884469488,-14.055643754574872,-1.9734053542045553,0.6335343452681079
NQ,EMA50,2R,False,8080,2.1063607924921794,0.3573019801980198,617.285804860452,-329.28292273213805,1.0421867403784952,8.92795803021434,-0.0675087192087758,-0.8433496333131404,-5.667733327343311,-3.1412534244782204,3.1460539048702176,20.091401932725958,0.9951984180882435,2.324282868331485,21.17523309604614,1.6011479636784969,2.6871949284192733
NQ,EMA50,2R,True,9220,2.403545359749739,0.2710412147505423,388.25873126652687,-157.55654184136012,0.9162566753966571,-9.618107188799431,-0.1134619110032466,-8.114179529039294,-14.094706475179953,-10.823683998356266,1.3509861891752817,4.528752500675873,-0.2660809598452487,2.150774208371138,-10.074646823296545,-1.0966014035521032,0.9548479685139675
NQ,EMA50,3R,False,7486,1.951511991657977,0.2835960459524446,872.5312558493977,-320.76570789990177,1.0768005221030714,17.648592666457134,-0.050335552333453,0.3811621631142088,-3.41894481253602,-1.9488719055582338,3.1395895786272736,36.597280291423445,1.2883899718883538,2.340828453199398,34.79710988845958,2.07430194933491,2.9379663413117623
NQ,EMA50,3R,True,8928,2.327424400417101,0.2550403225806452,418.27590415355786,-155.3811317163854,0.9215961443567066,-9.075456237458338,-0.11473692866210529,-7.0886687282623555,-14.434680333981813,-9.862629904676862,1.204549987774257,5.731560129558319,-0.003744152237368178,2.1542689220707882,-8.75985482213461,-0.6985576162405319,1.136210252206329
NQ,EMA50,sin objetivo,False,6625,1.7270594369134515,0.17615094339622642,1541.763564695801,-295.8060569295549,1.114417800577502,27.88356547599832,-0.03967239463963986,1.2723779602661045,0.4687128580034371,-0.4291849243194587,2.9085132199269337,29.82619811357808,0.8384370451512274,1.5325389778364085,60.554080088314144,2.172130067481301,2.747682118091053
NQ,EMA50,sin objetivo,True,8572,2.2346193952033366,0.24766682221185254,419.9229957607158,-152.44947749190237,0.906778752166369,-10.691805919887805,-0.1250498701175164,-6.9105359237594595,-15.11657833771368,-8.79932302926286,1.1260141347282613,0.9704303703726725,-0.5866731840437969,1.482543741811694,-10.083152928056954,-0.9475706978607666,0.7276215024776452
NQ,vela VI,1R,False,10006,2.60844629822732,0.394963022186688,64.01985829959516,-87.85200528576146,0.47570481666429904,-27.868235058964622,-0.5832463017127364,-38.37692732672465,-18.72789911149327,-30.928764731672285,-3.2210470550878316,-24.60479717813051,-14.050713357300808,-4.561829924816164,-35.64268272425248,-19.637570137103246,-10.482474286751708
NQ,vela VI,1R,True,10007,2.6087069864442127,0.3888278205256321,63.87634027242356,-86.02406147809026,0.472404294082017,-27.738614969521336,-0.5841668937971916,-39.21850177516375,-18.854555873925506,-31.94494841331724,-3.4881629732942407,-24.513674309229863,-14.178293825903614,-4.558430961564069,-35.31564784053156,-19.8656988472199,-10.551296479462382
