regla,salida,DEV_n,DEV_bp,DEV_t,DEV_wr,VAL1_n,VAL1_bp,VAL1_t,VAL1_wr,VAL2_n,VAL2_bp,VAL2_t,VAL2_wr
base (todos),f1,1849,5.6595224515283125,2.317573791728411,0.550027041644132,542,14.228528273997119,2.1737529942109077,0.5977859778597786,1241,4.905503236780793,1.2237467328793588,0.5487510072522159
base,f1,1849,5.6595224515283125,2.317573791728411,0.550027041644132,542,14.228528273997119,2.1737529942109077,0.5977859778597786,1241,4.905503236780793,1.2237467328793588,0.5487510072522159
IBS<0.1,f1,155,14.120895531321269,1.1116030785987954,0.5612903225806452,51,54.88991855356783,2.186254878603894,0.6666666666666666,130,19.55083386165342,1.3507409615767474,0.5846153846153846
IBS<0.2,f1,304,14.461797896101045,1.8130526446761257,0.5592105263157895,87,48.06820465452826,2.6585552344067844,0.6666666666666666,241,14.399836398319184,1.3096770838203653,0.5560165975103735
RSI2<10,f1,190,9.443552455181338,0.904274313808439,0.5157894736842106,36,29.95317765398934,0.718769191116121,0.6388888888888888,130,29.789899920057117,1.9233536464862797,0.5846153846153846
RSI2<20,f1,338,11.041012918963437,1.503809396433093,0.5355029585798816,78,14.403767193983994,0.55387577693433,0.6025641025641025,263,30.624622511902405,2.9633925360340387,0.596958174904943
2+ bajistas,f1,360,10.043450387462224,1.410118963331616,0.5611111111111111,79,3.9758366916992447,0.19327684970397804,0.6075949367088608,255,22.42522954659574,2.3832720013052033,0.5882352941176471
3+ bajistas,f1,158,15.744919109449947,1.456779755003865,0.5632911392405063,31,-52.521459908185996,-1.4081085200749208,0.4838709677419355,105,44.79150043953573,3.22150379533504,0.6476190476190476
3+ alcistas (short),f1,313,-6.217860426895465,-1.4468056254423505,0.43450479233226835,105,-7.559969832906065,-0.6072468901990086,0.41904761904761906,209,4.73912055153398,0.6030545070598641,0.45454545454545453
4+ alcistas (short),f1,177,-12.748070391905594,-2.4791307576986314,0.4011299435028249,61,19.05418556686191,1.1908141919147812,0.45901639344262296,114,4.450414520968586,0.4769435908058373,0.4649122807017544
base & >SMA50,f1,1351,3.579009269711593,1.6297638418880618,0.5462620281273131,422,6.76412504144826,1.1449050375454135,0.5947867298578199,808,5.590927949688789,1.4546183057790993,0.5544554455445545
IBS<0.1 & >SMA50,f1,68,-14.11367949187821,-0.9638933920263375,0.4852941176470588,31,39.93664277339582,1.5737841114960098,0.6774193548387096,56,32.66409869791918,2.650623800222047,0.625
IBS<0.2 & >SMA50,f1,153,-1.9766140680993072,-0.23090053590737222,0.5359477124183006,58,27.32895694120366,1.6421693434638744,0.6551724137931034,115,17.02081646499971,1.5660867576692161,0.591304347826087
RSI2<10 & >SMA50,f1,69,-4.318576949872693,-0.3618212979182316,0.5217391304347826,17,11.881162748199145,0.265139072279315,0.5882352941176471,41,39.21298983404855,2.3839609557074906,0.6341463414634146
RSI2<20 & >SMA50,f1,154,1.7303028906527198,0.20746814114072024,0.5324675324675324,45,-5.816750883743013,-0.22150816045195246,0.5777777777777777,103,39.77095559371286,3.1244524237533633,0.6504854368932039
2+ bajistas & >SMA50,f1,196,7.754271124643507,1.0564707830718958,0.5816326530612245,48,-5.424391874853605,-0.23526411742414283,0.5833333333333334,129,36.07221242469705,3.3160341188391533,0.6201550387596899
3+ bajistas & >SMA50,f1,63,13.407371480721977,1.139598229673985,0.6190476190476191,18,-12.020490240405657,-0.2839035193130588,0.5,47,52.68460033394178,2.9953806145994832,0.6808510638297872
3+ alcistas & >SMA50 (short),f1,271,-9.397435623436184,-2.3964166319519316,0.42066420664206644,97,-0.2215616503210983,-0.01776259762716219,0.4329896907216495,172,4.197075673405573,0.5945213612491834,0.46511627906976744
4+ alcistas & >SMA50 (short),f1,162,-15.66900295718854,-3.253959791799703,0.3888888888888889,56,22.004203630224374,1.276973284953337,0.4642857142857143,100,4.672379140914941,0.5363716365671936,0.48
base & >SMA200,f1,1609,4.3075783197291635,1.9097359780845307,0.5494095711622126,478,12.303417450997772,1.9338484750786198,0.602510460251046,924,5.688811440271863,1.6060987021173239,0.5681818181818182
IBS<0.1 & >SMA200,f1,120,5.493812027936074,0.43615997761849845,0.55,44,42.31313542108,1.650659171658306,0.6363636363636364,85,22.731519240569167,2.2584890798128043,0.611764705882353
IBS<0.2 & >SMA200,f1,239,7.908087778692682,1.045510595752321,0.5564853556485355,77,49.00980239515135,2.7691690580289743,0.6623376623376623,160,8.5259854799805,1.0287106227208793,0.575
RSI2<10 & >SMA200,f1,143,10.506910750358404,1.097528755366544,0.5174825174825175,25,51.95559889519267,1.4059154033404524,0.72,78,28.587251084498792,2.3971099516489445,0.6153846153846154
RSI2<20 & >SMA200,f1,261,12.017909982504902,1.7664548880732607,0.5363984674329502,64,11.876357600721045,0.4811748761764222,0.625,167,24.12297206999272,2.6158642004774104,0.6227544910179641
2+ bajistas & >SMA200,f1,294,13.44310722798241,2.0772753043338077,0.5714285714285714,64,4.262394035142554,0.20469884045585152,0.59375,165,21.434486940491247,2.4549913348479224,0.6060606060606061
3+ bajistas & >SMA200,f1,121,17.08344945837407,1.635215588473482,0.5702479338842975,24,-24.808541204149396,-0.67887916198811,0.5,63,41.9181983027662,3.221610838391996,0.6825396825396826
3+ alcistas & >SMA200 (short),f1,292,-9.180397400182724,-2.278637568180132,0.4178082191780822,97,-8.213405741740393,-0.6140749694849281,0.41237113402061853,185,-3.8038182261018787,-0.5500192145392714,0.43783783783783786
4+ alcistas & >SMA200 (short),f1,171,-14.802293830916284,-3.01462359394827,0.38596491228070173,57,20.63439230147573,1.2066970395601209,0.45614035087719296,105,-2.5710680477949586,-0.3105482794868397,0.45714285714285713
base (todos),f2,1849,11.133481854963094,3.2510842783060245,0.5754461871281774,542,28.887734331375782,3.361941578905821,0.6402214022140221,1241,9.709966281639462,1.7411703604095157,0.5495568090249798
base,f2,1849,11.133481854963094,3.2510842783060245,0.5754461871281774,542,28.887734331375782,3.361941578905821,0.6402214022140221,1241,9.709966281639462,1.7411703604095157,0.5495568090249798
IBS<0.1,f2,155,11.277150113152599,0.6712911928347022,0.567741935483871,51,96.33970920916697,3.3181170741275516,0.7647058823529411,130,51.50867384467061,2.4297843941792263,0.6153846153846154
IBS<0.2,f2,304,23.79938139684266,2.2427351251044256,0.5921052631578947,87,74.38578834120322,3.3599341709066364,0.7586206896551724,241,29.266532227636844,1.9454370284604414,0.5477178423236515
RSI2<10,f2,190,23.08596644978985,1.6091009571648542,0.5684210526315789,36,-28.18447386591633,-0.47878829409485624,0.5555555555555556,130,51.53424711995724,2.709244218983138,0.5846153846153846
RSI2<20,f2,338,19.563137235089865,1.9745510680185723,0.5650887573964497,78,-1.4072027567477097,-0.040444411465723466,0.5256410256410257,263,45.15482037971853,3.3223980029186926,0.5741444866920152
2+ bajistas,f2,360,19.933830455621017,2.101680696932856,0.5666666666666667,79,-17.95976128180535,-0.5746539425474724,0.5569620253164557,255,40.85760865929928,3.205765725649519,0.5882352941176471
3+ bajistas,f2,158,28.135174365757262,1.7666513021409473,0.569620253164557,31,-135.0540441135,-2.2854029853821145,0.3548387096774194,105,71.1603565801284,3.67246738738395,0.6476190476190476
3+ alcistas (short),f2,313,-15.979250617693253,-2.4753763609193538,0.35782747603833864,105,-0.9733469777958569,-0.060751864811785766,0.3904761904761905,209,2.4110403344050693,0.22891658741847676,0.44976076555023925
4+ alcistas (short),f2,177,-21.828522553671284,-2.81442972637902,0.2994350282485876,61,21.761955279235753,1.1105572945219269,0.4262295081967213,114,3.7399903452000616,0.2983992420208924,0.4824561403508772
base & >SMA50,f2,1351,5.706600859066248,1.7837412831303094,0.5684678016284234,422,17.396485600499695,2.154437326012032,0.6327014218009479,808,11.513050113821397,2.1328726608838284,0.5606435643564357
IBS<0.1 & >SMA50,f2,68,-9.663765575102117,-0.4992295923098006,0.5735294117647058,31,85.27983098440534,3.4981179356454923,0.8387096774193549,56,63.77544228926221,3.5508593399648385,0.6785714285714286
