,mean_pts,sd,n,up,mean_bp,t,bp_2021,bp_2022,bp_2023,bp_2024,años_mismo_signo
18:00,0.10691624365482233,20.97223704245133,788,0.4746192893401015,0.10745805917586296,0.14310738404613654,-0.18478279925468685,1.538087357260744,-1.2540203820668283,0.2792417962501654,2
18:30,-0.14942893401015228,12.58380886472228,788,0.5025380710659898,-0.0004646383576941304,-0.33333866662561984,0.08547900895894704,0.594936910775008,0.27224480556710834,-0.9388140608764897,1
19:00,-0.5691624365482234,15.131338628832271,788,0.4885786802030457,-0.40708887255234444,-1.0558980505098736,-0.18572073699937955,-1.3286481309083653,0.008871571282315896,-0.08102180172966406,3
19:30,0.253489847715736,14.72464020278759,788,0.5139593908629442,0.2186210834124485,0.4832579281764283,0.4926046876790133,0.14605923255953362,0.16054463143110612,0.12982362848695506,4
20:00,0.35804816223067176,17.646871941868415,789,0.5133079847908745,0.323401575737098,0.5699177935369225,1.883018448821529,0.10257545092701323,-0.2749732954279058,-0.11274836033580822,2
20:30,-0.14068441064638784,17.230774765615525,789,0.5069708491761724,-0.07952561010581184,-0.2293399279067911,-0.21922014944744334,-0.6229752048320242,0.3807260143404616,0.11414934783406047,2
21:00,-0.15462610899873258,15.306368346135923,789,0.5069708491761724,-0.2804560016410221,-0.28375868882057725,-0.9188852130524775,-0.9658955006607739,-0.22814688928866816,0.8674829318542056,3
21:30,0.5057034220532319,15.62266121926186,789,0.5069708491761724,0.25388073872213335,0.9092417705338803,-0.20574690139626597,0.03832263247413013,-0.01731095192165626,1.1127513452294646,2
22:00,0.17680608365019013,14.707521235840655,789,0.5209125475285171,0.0069341928845447,0.33767291106112357,-0.023593529438632375,-1.3483230359076934,0.7085297567762201,0.6818351527806575,2
22:30,-0.20278833967046894,12.582711321292832,789,0.4790874524714829,-0.0408200389152596,-0.4526966160649368,-0.3328236511776067,0.553892274691683,-0.02619874014839972,-0.4146464921149311,3
23:00,1.070025348542459,11.043289507504754,789,0.5525982256020279,0.7120810167308259,2.721661500908015,0.8188882056256817,0.9382230431749522,0.29535206680064385,0.8185130049728687,4
23:30,0.04467680608365019,10.762232601168629,789,0.4816223067173637,0.011896927778292403,0.11660528791541597,0.02537596661887506,-0.21795296836345227,0.10286566236482522,0.1394642331935823,3
00:00,-0.13161914460285132,10.956465642425917,982,0.47352342158859473,-0.06312874067918493,-0.37644742142626436,-0.43754150879256987,0.625428275862977,-0.5286892203131712,0.015726876550562225,2
00:30,0.40453156822810593,11.835728419135876,982,0.505091649694501,0.32907023822639553,1.07105844694729,1.5381373030856607,0.8286578090761784,0.03555938981548193,-0.8517582264245944,3
01:00,0.1991353001017294,12.315929105850321,983,0.503560528992879,0.06585751618981805,0.5069414836153879,0.0003284913364763502,0.05358080996378671,-0.0957090798112598,0.2916552348928653,3
