tipo,modo,t_ini,S,T,rr,R,K,G,L,rfrac,colchon,cons_ev,cons_pcobra,cons_nret,cons_dias,cons_pap,cons_neto_cupo,cons_neto_año,opt_ev,opt_pcobra,opt_nret,opt_dias,opt_pap,opt_neto_cupo,opt_neto_año,min_neto_cupo,min_neto_año,min_pcobra,rr_b
growth,3,16,40.75,25.25,0.6196319018404908,141.03736803884863,1,900.0,282.07473607769725,0.5,2500.0,0.0,0.0,0.0,250.0,0.3558,-261.38279932546374,-261.9024470378404,0.0,0.0,0.0,250.0,0.36055,-257.9392594647067,-258.45206117338404,-261.38279932546374,-261.9024470378404,0.0,0.6-1
select_flex,2,31,10.25,13.25,1.2926829268292683,110.32891552917891,8,150.0,1000000000.0,0.25,-1.0,33.3270830333397,0.0914285714285714,0.1085714285714285,250.0,0.3128,-283.16908064952474,-266.2634638943292,14.074920000000002,0.0442857142857142,0.0485714285714285,250.0,0.31945,-295.83273377993424,-278.1710780318785,-295.83273377993424,-278.1710780318785,0.0442857142857142,1-2
growth,3,16,40.25,76.5,1.9006211180124224,230.6770907864266,5,1000000000.0,461.3541815728532,0.1,1000.0,67.5,0.0457142857142857,0.05,250.0,0.3558,-193.8827993254637,-194.26825220682645,81.0,0.05,0.06,250.0,0.36055,-176.9392594647067,-177.29102737616736,-193.8827993254637,-194.26825220682645,0.0457142857142857,1-2
select_flex,1,1,13.75,3.25,0.2363636363636363,239.1967236658752,1,450.0,239.1967236658752,0.25,-1.0,0.0,0.0,0.0,250.0,0.3276,-302.1978021978022,-284.1561423650976,0.0,0.0,0.0,250.0,0.29715,-333.1650681474003,-313.2746163177047,-333.1650681474003,-313.2746163177047,0.0,<0.3 (WR muy alto)
growth,3,16,23.0,9.5,0.4130434782608695,77.74741159947814,1,450.0,155.49482319895628,0.0,1000.0,0.0,0.0,0.0,249.02714285714285,0.3558,-261.38279932546374,-262.91947722238143,0.0,0.0,0.0,239.64857142857144,0.36055,-257.9392594647067,-269.5462510934235,-261.38279932546374,-269.5462510934235,0.0,0.3-0.6 (WR alto)
select_flex,2,31,11.25,34.5,3.066666666666667,602.5714175180186,2,450.0,1205.1428350360372,0.0,-1.0,646.1611168164628,0.1885714285714285,0.3342857142857143,8.81,0.3128,329.6649531335984,3098.6784106552327,374.42614982142857,0.1242857142857142,0.1971428571428571,8.192857142857143,0.31945,64.5184960414943,620.728808383943,64.5184960414943,620.728808383943,0.1242857142857142,2-3.5
growth,1,1,102.25,92.75,0.9070904645476772,174.30226564704952,3,1000000000.0,174.30226564704952,0.0,1000.0,0.0,0.0,0.0,250.0,0.4027,-230.94114725602185,-231.40027478535788,0.0,0.0,0.0,250.0,0.39055,-238.12572013826653,-238.59913111269648,-238.12572013826653,-238.59913111269648,0.0,0.6-1
select_flex,2,31,15.25,4.25,0.2786885245901639,433.79742065596713,3,225.0,867.5948413119343,0.1,-1.0,0.0,0.0,0.0,250.0,0.3128,-316.49616368286445,-297.6008703286636,0.0,0.0,0.0,250.0,0.31945,-309.90765377993426,-291.4057043005352,-316.49616368286445,-297.6008703286636,0.0,<0.3 (WR muy alto)
growth,2,16,10.5,18.25,1.738095238095238,258.36637026392214,3,450.0,516.7327405278443,0.0,1000.0,102.21428571428572,0.0614285714285714,0.0757142857142857,30.467142857142857,0.3891,-136.79882145610753,-1078.3980026302618,57.85714285714285,0.0371428571428571,0.0428571428571428,25.562857142857144,0.43365,-156.6015219647181,-1458.2194084974806,-156.6015219647181,-1458.2194084974806,0.0371428571428571,1-2
select_flex,1,1,26.5,16.75,0.6320754716981132,398.1631356290652,3,900.0,796.3262712581304,0.5,-1.0,226.7614694680969,0.2257142857142857,0.2857142857142857,249.66142857142856,0.3276,-75.4363327297053,-71.02239552910667,94.25613857142856,0.12,0.1328571428571428,250.0,0.29715,-238.9089295759717,-224.6457098997943,-238.9089295759717,-224.6457098997943,0.12,0.6-1
