tipo,size,fr,R,S,rr,K,G,L,reserva,ev,p_cobra,n_ret,quiebra,dias,sd
growth,25,0.05,50.0,10,0.5,2,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.9765,22.837,0.0
growth,25,0.05,50.0,10,0.5,3,100.0,50.0,0,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,100.0,50.0,500,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,100.0,100.0,0,0.0,0.0,0.0,0.964,20.3125,0.0
growth,25,0.05,50.0,10,0.5,3,100.0,100.0,500,0.0,0.0,0.0,0.964,20.3125,0.0
growth,25,0.05,50.0,10,0.5,3,100.0,1000000000.0,0,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,0.5,3,100.0,1000000000.0,500,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,0.5,3,200.0,50.0,0,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,200.0,50.0,500,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,200.0,100.0,0,0.0,0.0,0.0,0.964,20.3125,0.0
growth,25,0.05,50.0,10,0.5,3,200.0,100.0,500,0.0,0.0,0.0,0.964,20.3125,0.0
growth,25,0.05,50.0,10,0.5,3,200.0,1000000000.0,0,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,0.5,3,200.0,1000000000.0,500,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,0.5,3,400.0,50.0,0,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,400.0,50.0,500,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,400.0,100.0,0,0.0,0.0,0.0,0.964,20.3125,0.0
growth,25,0.05,50.0,10,0.5,3,400.0,100.0,500,0.0,0.0,0.0,0.964,20.3125,0.0
growth,25,0.05,50.0,10,0.5,3,400.0,1000000000.0,0,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,0.5,3,400.0,1000000000.0,500,0.0,0.0,0.0,0.968,17.5995,0.0
growth,25,0.05,50.0,10,0.5,3,1000000000.0,50.0,0,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,1000000000.0,50.0,500,0.0,0.0,0.0,0.9665,31.218,0.0
growth,25,0.05,50.0,10,0.5,3,1000000000.0,100.0,0,0.0,0.0,0.0,0.964,20.3125,0.0
