R,S,rr,K,G,colchon,ev,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
100,20,3,1,600.0,500,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,600.0,1000,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,600.0,1500,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,600.0,2500,20.7,0.012666666666666666,0.015333333333333332,147.30466666666666,-213.49793502895997,-365.2394784548436
100,20,3,1,1000000000.0,-1,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,1000000000.0,0,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,1000000000.0,500,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,1000000000.0,1000,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,1000000000.0,1500,82.8,0.054,0.06133333333333333,146.41866666666667,-151.39793502895998,-260.56977908530274
100,20,3,1,1000000000.0,2500,20.7,0.012666666666666666,0.015333333333333332,147.30466666666666,-213.49793502895997,-365.2394784548436
100,20,3,2,300.0,-1,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,300.0,0,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,300.0,500,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,300.0,1000,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,300.0,1500,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,300.0,2500,72.0,0.04466666666666667,0.05333333333333334,92.96733333333333,-162.19793502895996,-439.6585140368077
100,20,3,2,600.0,-1,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,600.0,0,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,600.0,500,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,600.0,1000,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,600.0,1500,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,600.0,2500,72.0,0.04466666666666667,0.05333333333333334,92.96733333333333,-162.19793502895996,-439.6585140368077
100,20,3,2,1000000000.0,-1,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,1000000000.0,0,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,1000000000.0,500,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,1000000000.0,1000,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,1000000000.0,1500,153.0,0.08933333333333333,0.11333333333333333,89.724,-81.19793502895996,-228.05358240044927
100,20,3,2,1000000000.0,2500,72.0,0.04466666666666667,0.05333333333333334,92.96733333333333,-162.19793502895996,-439.6585140368077
100,40,1,1,300.0,-1,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,300.0,0,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,300.0,500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,300.0,1000,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
100,40,1,1,300.0,1500,0.0,0.0,0.0,212.47666666666666,-234.19793502895996,-277.76169756976253
