filtro,Rusd,K,cons_aprueba,cons_dias_ex,cons_ev,cons_cobra,cons_retiros,cons_vida,cons_neto_ex,cons_por_cupo_año,opt_aprueba,opt_dias_ex,opt_ev,opt_cobra,opt_retiros,opt_vida,opt_neto_ex,opt_por_cupo_año,min_neto_ex
sin filtro,150,1,0.20666666666666667,31.0,970.2098254381351,0.7103333333333334,2.895,127.754,101.51003059054793,1913.7786371496004,0.21766666666666667,29.0,1096.0376847829966,0.7366666666666667,3.224,120.51333333333334,139.5708693877656,2291.8750060738657,101.51003059054793
sin filtro,150,2,0.25366666666666665,22.0,925.3915455403859,0.6823333333333333,2.0846666666666667,82.40466666666667,135.74098871874455,2829.920669656782,0.26266666666666666,20.0,766.9068067745113,0.6436666666666667,1.6776666666666666,68.64866666666667,102.44085457943831,2815.2114919519217,102.44085457943831
sin filtro,150,3,0.239,21.0,892.5968398733594,0.6773333333333333,1.979,70.37033333333333,114.33064472973288,3196.437944703306,0.20733333333333334,17.0,624.9610476864477,0.5886666666666667,1.421,52.183,30.575257220323493,3018.036219017397,30.575257220323493
sin filtro,250,1,0.256,12.0,854.261399439745,0.6646666666666666,1.728,43.732,119.69091825657472,4922.570947105454,0.2703333333333333,11.0,851.0571234061581,0.662,1.7346666666666666,40.89933333333333,131.06910902746472,5243.762614672248,119.69091825657472
sin filtro,250,2,0.21233333333333335,12.0,873.4035676980333,0.6353333333333333,1.4606666666666666,29.493666666666666,86.45269087454906,7462.541078646412,0.215,11.0,873.9312000685961,0.6376666666666667,1.4403333333333332,25.517333333333333,88.89520801474816,8630.629993362141,86.45269087454906
sin filtro,250,3,0.205,10.0,844.9457255266011,0.594,1.227,26.730333333333334,74.2138737329532,7965.718952227936,0.20366666666666666,9.0,685.4832290348043,0.5423333333333333,0.972,21.391,40.610084313421794,8075.441714588877,40.610084313421794
sin filtro,400,1,0.21933333333333332,7.0,765.3209183810626,0.5036666666666667,0.8916666666666667,20.218,68.8603880982464,9539.067733308328,0.23533333333333334,7.0,768.2546677603921,0.5236666666666666,0.9103333333333333,18.768,81.79593181294561,10315.439912383781,68.8603880982464
sin filtro,400,2,0.20866666666666667,6.0,828.9010914785824,0.475,0.847,14.196666666666667,73.96402775519752,14713.529588114776,0.23333333333333334,5.0,880.9510821397721,0.5053333333333333,0.9166666666666666,12.761666666666667,106.55525249928016,17395.82129026166,73.96402775519752
sin filtro,400,3,0.19533333333333333,5.0,828.7876897588055,0.4066666666666667,0.7043333333333334,14.054666666666666,62.88986206622002,14860.153056106084,0.217,5.0,713.3444206372773,0.365,0.5736666666666667,11.439,55.795739278289176,15714.904624582032,55.795739278289176
sin filtro,600,1,0.16533333333333333,6.0,804.6848510648214,0.33366666666666667,0.5676666666666667,13.341333333333333,34.0412287093838,15199.4240307067,0.17133333333333334,6.0,862.6938008673396,0.3546666666666667,0.6063333333333333,12.790333333333333,48.80820454860418,16997.12057167415,34.0412287093838
sin filtro,600,2,0.154,5.0,914.9877223830584,0.31466666666666665,0.5743333333333334,9.907666666666668,41.90810924699099,23272.574037667535,0.181,4.0,946.521892681897,0.3333333333333333,0.6056666666666667,8.883333333333333,72.32046257542336,26850.67733086357,41.90810924699099
sin filtro,600,3,0.15233333333333332,5.0,903.9000427779381,0.25833333333333336,0.5003333333333333,10.432666666666666,38.69410651650588,21833.61340469427,0.16633333333333333,4.0,847.9603529870747,0.233,0.45166666666666666,9.053,42.04407204685009,23603.88920277729,38.69410651650588
sin filtro,900,1,0.12166666666666667,6.0,930.4511001697784,0.216,0.4676666666666667,10.961333333333334,14.204883853989713,21390.98138086463,0.13233333333333333,6.0,894.0472139832123,0.23033333333333333,0.456,10.089333333333334,19.31224798377842,22330.503957027504,14.204883853989713
sin filtro,900,2,0.121,5.0,1093.8081161487355,0.21133333333333335,0.5326666666666666,8.880333333333333,33.350782053996994,31039.33545319035,0.142,4.0,1158.634323987078,0.22533333333333333,0.5606666666666666,8.155666666666667,65.52607400616506,35800.365755271625,33.350782053996994
sin filtro,900,3,0.121,5.0,1160.949360818372,0.18,0.5416666666666666,10.003333333333334,41.47487265902302,29246.175167567115,0.13933333333333334,4.0,1015.3177057226123,0.17233333333333334,0.468,8.472,42.46760033068398,30200.668300530964,41.47487265902302
stop + día a favor,150,1,0.201,38.0,1525.828865841021,0.796,4.413,239.55233333333334,207.69160203404527,1605.1142931548875,0.2793333333333333,35.0,2475.967433196747,0.8923333333333333,6.878666666666667,246.119,592.6202363396246,2535.1305391521187,207.69160203404527
stop + día a favor,150,2,0.26166666666666666,35.0,1580.9355394098188,0.823,3.9326666666666665,196.22133333333332,314.6781328122359,2030.3386444454275,0.33266666666666667,31.0,1857.119313924729,0.8436666666666667,4.325333333333333,169.689,518.8016917656265,2757.9517064101487,314.6781328122359
stop + día a favor,150,3,0.25966666666666666,35.0,1583.5461286583209,0.8153333333333334,3.9273333333333333,194.96766666666667,312.1941447416106,2046.7682218516413,0.31566666666666665,31.0,1681.4638350800033,0.827,4.000333333333334,157.98266666666666,431.7820839402543,2682.122636492785,312.1941447416106
stop + día a favor,250,1,0.31566666666666665,17.0,1203.5776905703392,0.743,2.378,75.10333333333334,280.9293576567037,4038.4569440822706,0.362,15.0,1512.7618545164355,0.792,2.824333333333333,69.78166666666667,448.6197913349496,5462.981977188017,280.9293576567037
stop + día a favor,250,2,0.2866666666666667,19.0,1321.7202409597905,0.754,2.2476666666666665,64.98766666666667,279.89313574180665,5125.180173497544,0.30266666666666664,16.0,1426.414573379314,0.7586666666666667,2.316666666666667,54.366,332.72814420947236,6611.788111900584,279.89313574180665
stop + día a favor,250,3,0.285,18.0,1313.7569669747256,0.7503333333333333,2.1883333333333335,64.093,275.4207355877968,5165.412068051594,0.292,16.0,1390.4783379861892,0.7366666666666667,2.194,53.249,307.0196746919672,6580.4154288816635,275.4207355877968
stop + día a favor,400,1,0.257,10.0,1048.4531353797354,0.583,1.1733333333333333,32.89633333333333,170.452455792592,8031.599979198087,0.281,9.0,1190.8386829357485,0.604,1.2896666666666667,29.496,235.62566990494537,10173.967592209407,170.452455792592
stop + día a favor,400,2,0.26033333333333336,9.0,1160.1708144530292,0.572,1.1793333333333333,29.653666666666666,203.0311353626053,9859.254456744979,0.27266666666666667,8.0,1210.2213059210833,0.5856666666666667,1.2083333333333333,24.290666666666667,230.98700941448203,12555.265496711207,203.0311353626053
stop + día a favor,400,3,0.257,9.0,1167.4163702075712,0.5613333333333334,1.1533333333333333,29.866333333333333,201.0260071433458,9850.185558733063,0.268,8.0,1160.6103046176315,0.558,1.12,24.233,212.04356163752527,12069.236032007724,201.0260071433458
stop + día a favor,600,1,0.18833333333333332,8.0,1101.227008671878,0.384,0.7366666666666667,21.529666666666667,108.39775329987032,12889.619262659891,0.20733333333333334,7.5,1301.9611860354223,0.4166666666666667,0.8536666666666667,20.097,170.93995257134424,16325.532113296831,108.39775329987032
stop + día a favor,600,2,0.189,8.0,1259.3856231804261,0.385,0.7896666666666666,20.566333333333333,139.02388278110055,15431.2959873645,0.20666666666666667,7.0,1370.3089079622366,0.394,0.8433333333333334,17.234,184.19717431219556,20037.010839415318,139.02388278110055
stop + día a favor,600,3,0.188,8.0,1309.3935618189164,0.37433333333333335,0.7946666666666666,21.166333333333334,147.16598962195627,15589.24601545065,0.20266666666666666,6.5,1352.7385249613628,0.37333333333333335,0.8063333333333333,17.43166666666667,175.15500772550286,19555.795484669474,147.16598962195627
stop + día a favor,900,1,0.13833333333333334,8.0,1309.0785416992298,0.24866666666666667,0.6446666666666667,18.758,82.08919826839346,17586.51202197494,0.15333333333333332,7.0,1664.3750066140585,0.2753333333333333,0.8143333333333334,18.302333333333333,156.20416768082228,22916.340448398714,82.08919826839346
stop + día a favor,900,2,0.13733333333333334,7.0,1639.2575892946559,0.25466666666666665,0.7926666666666666,19.596333333333334,126.1247089297994,21080.1125636898,0.158,6.0,1760.3351627755007,0.2663333333333333,0.8463333333333334,16.472666666666665,179.1329557185291,26929.72971504874,126.1247089297994
stop + día a favor,900,3,0.137,7.0,1756.147063903363,0.25266666666666665,0.839,20.839,141.59214775476076,21236.578535613393,0.15566666666666668,6.0,1710.3799850274052,0.25166666666666665,0.8166666666666667,16.712,167.24915100259943,25790.79441281152,141.59214775476076
stop + EMA20 + día a favor,150,1,0.14733333333333334,43.0,1696.8474027263717,0.8326666666666667,4.804,327.90833333333336,151.00218400168544,1304.039885599265,0.19266666666666668,40.0,2160.2714702690173,0.8746666666666667,6.070333333333333,300.34133333333335,317.2123032718307,1812.565738008507,151.00218400168544
stop + EMA20 + día a favor,150,2,0.19933333333333333,40.0,1749.173004459272,0.8396666666666667,4.493333333333333,284.92333333333335,249.66848555554822,1547.0533492883578,0.25333333333333335,37.0,2034.5945914730032,0.872,5.028666666666667,244.604,416.4306298398275,2096.113869974313,249.66848555554822
stop + EMA20 + día a favor,150,3,0.20866666666666667,40.0,1745.2179112450606,0.833,4.457,280.732,265.1688041464693,1566.600578607908,0.241,37.0,1977.9149546813999,0.8683333333333333,4.912,239.85433333333333,377.67750407821734,2078.0719766568573,265.1688041464693
stop + EMA20 + día a favor,250,1,0.33466666666666667,22.0,1416.412808564479,0.783,2.788,108.44733333333333,375.0261532662457,3291.3306098651456,0.3443333333333333,19.0,1467.4138370354847,0.793,2.814,91.686,406.27949788588523,4033.203400005913,375.0261532662457
stop + EMA20 + día a favor,250,2,0.3016666666666667,23.0,1477.971007858974,0.78,2.5693333333333332,94.97033333333333,346.8545873707905,3921.737251076246,0.29433333333333334,20.0,1449.6665451197655,0.778,2.5116666666666667,77.31,327.68518644691767,4725.339145908432,327.68518644691767
stop + EMA20 + día a favor,250,3,0.30566666666666664,23.0,1467.117852652834,0.7756666666666666,2.5216666666666665,93.61333333333333,349.44902362754954,3949.370091886991,0.29633333333333334,21.0,1399.8858921746637,0.7723333333333333,2.403,76.33333333333333,315.83285271442537,4621.457355825527,315.83285271442537
stop + EMA20 + día a favor,400,1,0.274,13.0,1199.551818597088,0.6046666666666667,1.304,45.45333333333333,229.67719829560212,6650.492628772356,0.26966666666666667,11.0,1095.3586944103733,0.595,1.23,37.276,196.38172792599732,7405.043217926121,196.38172792599732
stop + EMA20 + día a favor,400,2,0.2713333333333333,12.0,1314.504930057906,0.6056666666666667,1.327,42.403,257.6690043557118,7812.070900044627,0.277,10.0,1180.2419751582281,0.5983333333333334,1.241,32.797333333333334,227.92702711882924,9068.450008330154,227.92702711882924
stop + EMA20 + día a favor,400,3,0.267,12.0,1344.628880912936,0.598,1.3243333333333334,42.507666666666665,260.01591120375394,7971.420323942972,0.27266666666666667,10.0,1138.0546977376507,0.5916666666666667,1.1943333333333332,32.733,211.30958091646607,8761.487912195276,211.30958091646607
stop + EMA20 + día a favor,600,1,0.19433333333333333,11.0,1298.63765682464,0.41333333333333333,0.858,30.519666666666666,153.36858464292172,10722.813361432824,0.19933333333333333,9.0,1180.9098690048304,0.39466666666666667,0.7923333333333333,24.216666666666665,136.39470055496287,12288.614741468024,136.39470055496287
stop + EMA20 + día a favor,600,2,0.196,11.0,1457.1523586428495,0.4023333333333333,0.901,29.494666666666667,186.60186229399852,12449.789601894063,0.20733333333333334,9.0,1279.0717799721701,0.399,0.8166666666666667,22.127333333333333,166.19421571422993,14566.87453916665,166.19421571422993
stop + EMA20 + día a favor,600,3,0.19566666666666666,11.0,1472.1224971282456,0.4,0.898,29.615,189.04530193809336,12526.586840328142,0.20266666666666666,9.0,1274.8474815913191,0.394,0.808,22.406333333333333,159.36908960250736,14337.980274669919,159.36908960250736
stop + EMA20 + día a favor,900,1,0.14633333333333334,10.0,1624.247919269892,0.27066666666666667,0.793,27.539666666666665,138.68161218649422,14862.579152108334,0.14433333333333334,9.0,1519.9717071498055,0.2733333333333333,0.752,21.67866666666667,120.3825830652886,17668.65444684871,120.3825830652886
stop + EMA20 + día a favor,900,2,0.149,10.0,2070.724984307882,0.26366666666666666,0.9803333333333333,30.463333333333335,209.53802266187444,17129.533736040692,0.15166666666666667,8.0,1826.4234173947677,0.2683333333333333,0.876,21.950333333333333,178.00755163820645,20968.187325180246,178.00755163820645
stop + EMA20 + día a favor,900,3,0.14966666666666667,10.0,2128.8731322088584,0.261,1.006,31.209333333333333,219.6213454539258,17189.60234064486,0.15033333333333335,8.0,1748.1913323400975,0.2613333333333333,0.8346666666666667,21.685,163.811430295128,20315.619817832816,163.811430295128
