esc,modo,plan,Rusd,K,ev_3años,p_cobra,n_ret,vida_dias,ev_por_año_vida,p50,p90
cons,sin ventaja,select_flex,250,3,598.8816567290714,0.4816666666666667,0.871,19.645,7682.269152238534,0.0,1717.31550359489
cons,sin ventaja,select_flex,400,1,747.3659455223883,0.49633333333333335,0.902,15.153,12428.972366636432,0.0,2099.788824649045
cons,sin ventaja,select_flex,400,2,595.9994549165806,0.342,0.5253333333333333,11.767333333333333,12763.45781873364,0.0,1747.6626468900922
cons,sin ventaja,select_flex,400,3,647.9787467517392,0.3343333333333333,0.538,10.971,14883.843239580556,0.0,1854.8616879257959
cons,sin ventaja,select_flex,600,1,804.0263912258356,0.3616666666666667,0.6176666666666667,10.334333333333333,19605.972059695247,0.0,2278.5728586455566
cons,sin ventaja,select_flex,600,2,649.8444287408868,0.22233333333333333,0.36933333333333335,8.673333333333334,18880.952656729838,0.0,2157.459047579955
cons,sin ventaja,select_flex,600,3,719.860653391968,0.22333333333333333,0.3983333333333333,8.271333333333333,21931.758441376955,0.0,2250.0
cons,sin ventaja,select_flex,900,1,971.238446511562,0.2673333333333333,0.527,8.749666666666666,27972.732887452505,0.0,2600.173725376803
cons,sin ventaja,select_flex,900,2,746.6525418246553,0.17233333333333334,0.3546666666666667,7.714333333333333,24390.49914096873,0.0,2250.0
cons,sin ventaja,select_flex,900,3,814.1885108977717,0.165,0.384,7.522,27276.72224757225,0.0,2250.0
cons,sin ventaja,growth,75,1,2.7,0.002,0.002,441.201,1.5421542562233541,0.0,0.0
cons,sin ventaja,growth,75,2,1.35,0.001,0.001,324.2633333333333,1.049147297977981,0.0,0.0
cons,sin ventaja,growth,75,3,3.6,0.0026666666666666666,0.0026666666666666666,297.5903333333333,3.0484861179406595,0.0,0.0
cons,sin ventaja,growth,100,1,82.8,0.046,0.06133333333333333,300.73533333333336,69.38193716290957,0.0,0.0
cons,sin ventaja,growth,100,2,44.1,0.024333333333333332,0.03266666666666666,184.20233333333334,60.33148331454361,0.0,0.0
cons,sin ventaja,growth,100,3,82.8,0.04133333333333333,0.06133333333333333,176.48266666666666,118.23030779226666,0.0,0.0
cons,sin ventaja,growth,150,1,270.0,0.107,0.19233333333333333,134.47766666666666,505.9576187371881,0.0,1350.0
cons,sin ventaja,growth,150,2,179.55,0.076,0.12633333333333333,80.779,560.1282511543842,0.0,0.0
cons,sin ventaja,growth,150,3,225.0,0.09566666666666666,0.157,76.724,739.0125645169699,0.0,0.0
