fase,plan,Robj,Rusd,K,G,cons_p,cons_dias,opt_p,opt_dias,colchon,cons_ev,cons_pcobra,cons_nret,opt_ev,opt_pcobra,opt_nret
examen,growth,2.0,600,3,300.0,0.25066666666666665,7.0,0.2733333333333333,6.0,,,,,,,
examen,growth,2.0,600,3,600.0,0.23633333333333334,7.0,0.265,6.0,,,,,,,
examen,growth,2.0,600,3,1200.0,0.26266666666666666,6.0,0.257,5.0,,,,,,,
examen,growth,2.0,600,3,1000000000.0,0.2643333333333333,5.0,0.246,5.0,,,,,,,
examen,growth,2.0,600,5,300.0,0.24766666666666667,7.0,0.278,6.0,,,,,,,
examen,growth,2.0,600,5,600.0,0.237,7.0,0.26666666666666666,6.0,,,,,,,
examen,growth,2.0,600,5,1200.0,0.2643333333333333,6.0,0.25333333333333335,5.0,,,,,,,
examen,growth,2.0,600,5,1000000000.0,0.262,5.0,0.25,5.0,,,,,,,
examen,growth,2.0,900,1,300.0,0.289,4.0,0.29733333333333334,4.0,,,,,,,
examen,growth,2.0,900,1,600.0,0.289,4.0,0.29733333333333334,4.0,,,,,,,
examen,growth,2.0,900,1,1200.0,0.289,4.0,0.29733333333333334,4.0,,,,,,,
examen,growth,2.0,900,1,1000000000.0,0.289,4.0,0.29733333333333334,4.0,,,,,,,
examen,growth,2.0,900,2,300.0,0.2896666666666667,4.0,0.301,4.0,,,,,,,
examen,growth,2.0,900,2,600.0,0.287,4.0,0.299,4.0,,,,,,,
examen,growth,2.0,900,2,1200.0,0.27266666666666667,3.0,0.278,3.0,,,,,,,
examen,growth,2.0,900,2,1000000000.0,0.2836666666666667,3.0,0.303,3.0,,,,,,,
examen,growth,2.0,900,3,300.0,0.2926666666666667,4.0,0.2896666666666667,3.0,,,,,,,
examen,growth,2.0,900,3,600.0,0.29,4.0,0.285,3.0,,,,,,,
examen,growth,2.0,900,3,1200.0,0.2786666666666667,4.0,0.2633333333333333,3.0,,,,,,,
examen,growth,2.0,900,3,1000000000.0,0.27266666666666667,3.0,0.25733333333333336,3.0,,,,,,,
examen,growth,2.0,900,5,300.0,0.29333333333333333,4.0,0.2906666666666667,3.0,,,,,,,
examen,growth,2.0,900,5,600.0,0.289,4.0,0.2853333333333333,3.0,,,,,,,
examen,growth,2.0,900,5,1200.0,0.2773333333333333,3.0,0.263,3.0,,,,,,,
examen,growth,2.0,900,5,1000000000.0,0.2733333333333333,3.0,0.26366666666666666,2.0,,,,,,,
examen,growth,2.0,1250,1,300.0,0.25866666666666666,3.0,0.26466666666666666,3.0,,,,,,,
examen,growth,2.0,1250,1,600.0,0.25866666666666666,3.0,0.26466666666666666,3.0,,,,,,,
examen,growth,2.0,1250,1,1200.0,0.25866666666666666,3.0,0.26466666666666666,3.0,,,,,,,
examen,growth,2.0,1250,1,1000000000.0,0.25866666666666666,3.0,0.26466666666666666,3.0,,,,,,,
examen,growth,2.0,1250,2,300.0,0.25433333333333336,3.0,0.26033333333333336,3.0,,,,,,,
examen,growth,2.0,1250,2,600.0,0.25066666666666665,3.0,0.25166666666666665,3.0,,,,,,,
examen,growth,2.0,1250,2,1200.0,0.21833333333333332,4.0,0.20366666666666666,3.0,,,,,,,
examen,growth,2.0,1250,2,1000000000.0,0.254,3.0,0.264,2.0,,,,,,,
