escenario,entrada,politica,colchon,p_aprobar,ev_fondeada,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
cons,aleatoria 09:31,equilibrada (R250 S60 T180 K2),0,0.3695,690.975,0.2475,0.4558333333333333,27.302333333333333,439.2835250338295,4054.5783013121604
cons,aleatoria 09:31,equilibrada (R250 S60 T180 K2),1000,0.3695,691.875,0.2475,0.45616666666666666,27.344833333333334,440.1835250338295,4056.57064924605
cons,aleatoria 09:31,equilibrada (R250 S60 T180 K2),2500,0.3695,692.1,0.184,0.43016666666666664,34.7115,440.4085250338295,3197.2962363633096
cons,aleatoria 09:31,equilibrada (R250 S60 T180 K2),3500,0.3695,635.175,0.1525,0.3885,39.75783333333333,383.48352503382944,2430.661839600373
cons,aleatoria 09:31,rápida (R600 S60 T120 K2),-1,0.3695,698.4,0.242,0.44416666666666665,14.152,446.70852503382946,7954.391485904821
cons,aleatoria 09:31,rápida (R600 S60 T120 K2),0,0.3695,698.4,0.242,0.44416666666666665,14.152,446.70852503382946,7954.391485904821
cons,aleatoria 09:31,rápida (R600 S60 T120 K2),1000,0.3695,698.4,0.242,0.44416666666666665,14.152,446.70852503382946,7954.391485904821
cons,aleatoria 09:31,rápida (R600 S60 T120 K2),2500,0.3695,681.525,0.1915,0.4165,17.246666666666666,429.83352503382946,6280.520775523291
cons,aleatoria 09:31,rápida (R600 S60 T120 K2),3500,0.3695,638.1,0.15,0.37833333333333335,19.801166666666667,386.4085250338295,4917.636922497413
cons,aleatoria 09:31,lenta (R400 S90 T180 K1),-1,0.3695,699.5103376426706,0.25,0.458,31.421833333333332,447.8188626765001,3591.46305046315
cons,aleatoria 09:31,lenta (R400 S90 T180 K1),0,0.3695,699.525,0.25,0.458,31.421833333333332,447.83352503382946,3591.5806411208246
cons,aleatoria 09:31,lenta (R400 S90 T180 K1),1000,0.3695,700.875,0.25,0.4585,31.494,449.1835250338295,3594.1528008041223
cons,aleatoria 09:31,lenta (R400 S90 T180 K1),2500,0.3695,687.375,0.19183333333333333,0.43033333333333335,39.361666666666665,435.6835250338295,2789.319091549097
cons,aleatoria 09:31,lenta (R400 S90 T180 K1),3500,0.3695,626.625,0.1535,0.387,44.81,374.9335250338295,2108.5304242027455
cons,solo largos 09:31,equilibrada (R250 S60 T180 K2),-1,0.39465,925.4110372437323,0.2825,0.5833333333333334,30.451,689.759193838183,5708.164488759716
cons,solo largos 09:31,equilibrada (R250 S60 T180 K2),0,0.39465,925.425,0.2825,0.5833333333333334,30.451,689.7731565944507,5708.280038809943
cons,solo largos 09:31,equilibrada (R250 S60 T180 K2),1000,0.39465,926.775,0.2825,0.5838333333333333,30.5705,691.1231565944507,5697.094763311087
cons,solo largos 09:31,equilibrada (R250 S60 T180 K2),2500,0.39465,1010.025,0.2255,0.5965,40.1735,774.3731565944507,4857.481560277337
cons,solo largos 09:31,equilibrada (R250 S60 T180 K2),3500,0.39465,981.675,0.1875,0.567,46.91316666666667,746.0231565944507,4007.3576102331235
cons,solo largos 09:31,rápida (R600 S60 T120 K2),-1,0.39465,923.4,0.261,0.5533333333333333,16.6445,687.7481565944507,10412.600886887656
cons,solo largos 09:31,rápida (R600 S60 T120 K2),0,0.39465,923.4,0.261,0.5533333333333333,16.6445,687.7481565944507,10412.600886887656
cons,solo largos 09:31,rápida (R600 S60 T120 K2),1000,0.39465,923.4,0.261,0.5533333333333333,16.6445,687.7481565944507,10412.600886887656
cons,solo largos 09:31,rápida (R600 S60 T120 K2),2500,0.39465,945.0,0.21,0.5415,20.4575,709.3481565944508,8737.907147100164
cons,solo largos 09:31,rápida (R600 S60 T120 K2),3500,0.39465,957.6,0.17433333333333334,0.5286666666666666,23.730666666666668,721.9481565944508,7666.4907066159785
cons,solo largos 09:31,lenta (R400 S90 T180 K1),-1,0.39465,1078.65,0.2985,0.665,36.35033333333333,842.9981565944508,5844.115197342573
cons,solo largos 09:31,lenta (R400 S90 T180 K1),0,0.39465,1078.65,0.2985,0.665,36.35033333333333,842.9981565944508,5844.115197342573
cons,solo largos 09:31,lenta (R400 S90 T180 K1),1000,0.39465,1079.55,0.2985,0.6653333333333333,36.54783333333334,843.8981565944507,5818.7398832161025
cons,solo largos 09:31,lenta (R400 S90 T180 K1),2500,0.39465,1150.875,0.24166666666666667,0.6755,47.76133333333333,915.2231565944508,4828.932095596192
cons,solo largos 09:31,lenta (R400 S90 T180 K1),3500,0.39465,1103.175,0.2085,0.6413333333333333,54.953833333333336,867.5231565944507,3978.172626024904
cons,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),-1,0.38025,878.1693164861097,0.278,0.5593333333333333,31.1465,633.5933796024805,5126.275236698348
cons,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),0,0.38025,878.175,0.278,0.5593333333333333,31.1465,633.5990631163708,5126.321220853882
cons,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),1000,0.38025,877.275,0.278,0.559,31.172,632.6990631163708,5114.851915351131
cons,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),2500,0.38025,912.375,0.21866666666666668,0.5506666666666666,40.2665,667.7990631163708,4179.289580801049
cons,momentum 15 min (09:46),equilibrada (R250 S60 T180 K2),3500,0.38025,878.175,0.18733333333333332,0.5213333333333333,46.49933333333333,633.5990631163708,3433.7473778547096
cons,momentum 15 min (09:46),rápida (R600 S60 T120 K2),-1,0.38025,748.35,0.24316666666666667,0.4676666666666667,15.055166666666667,503.7740631163708,8432.39179718981
cons,momentum 15 min (09:46),rápida (R600 S60 T120 K2),0,0.38025,748.35,0.24316666666666667,0.4676666666666667,15.055166666666667,503.7740631163708,8432.39179718981
cons,momentum 15 min (09:46),rápida (R600 S60 T120 K2),1000,0.38025,748.35,0.24316666666666667,0.4676666666666667,15.055166666666667,503.7740631163708,8432.39179718981
cons,momentum 15 min (09:46),rápida (R600 S60 T120 K2),2500,0.38025,724.5,0.18733333333333332,0.43316666666666664,18.099,479.9240631163708,6682.184866861453
cons,momentum 15 min (09:46),rápida (R600 S60 T120 K2),3500,0.38025,705.6,0.15166666666666667,0.408,20.831333333333333,461.0240631163708,5577.082467372489
cons,momentum 15 min (09:46),lenta (R400 S90 T180 K1),-1,0.38025,814.4905922500371,0.2628333333333333,0.5221666666666667,33.938833333333335,569.9146553664079,4231.686214483943
cons,momentum 15 min (09:46),lenta (R400 S90 T180 K1),0,0.38025,814.5,0.2628333333333333,0.5221666666666667,33.938833333333335,569.9240631163708,4231.756068181251
cons,momentum 15 min (09:46),lenta (R400 S90 T180 K1),1000,0.38025,815.4,0.2628333333333333,0.5225,34.03516666666667,570.8240631163708,4226.442177120491
cons,momentum 15 min (09:46),lenta (R400 S90 T180 K1),2500,0.38025,809.55,0.205,0.49683333333333335,42.873333333333335,564.9740631163708,3320.792969335844
cons,momentum 15 min (09:46),lenta (R400 S90 T180 K1),3500,0.38025,742.275,0.172,0.4525,48.48233333333334,497.6990631163708,2586.925077285721
cons,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),-1,0.35035,309.825,0.15416666666666667,0.22,22.1375,44.37616312259166,505.1515802097391
cons,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),0,0.35035,309.825,0.15416666666666667,0.22,22.1375,44.37616312259166,505.1515802097391
cons,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),1000,0.35035,309.825,0.15416666666666667,0.22,22.142,44.37616312259166,505.04891639838763
cons,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),2500,0.35035,239.85,0.10066666666666667,0.16616666666666666,25.365,-25.59883687740833,-254.3231576229805
cons,fade 15 min (09:46),equilibrada (R250 S60 T180 K2),3500,0.35035,183.15,0.06833333333333333,0.12516666666666668,27.664833333333334,-82.29883687740832,-749.6631786361829
cons,fade 15 min (09:46),rápida (R600 S60 T120 K2),-1,0.35035,396.45,0.18633333333333332,0.275,11.035333333333334,131.00116312259166,2991.5084673678275
cons,fade 15 min (09:46),rápida (R600 S60 T120 K2),0,0.35035,396.45,0.18633333333333332,0.275,11.035333333333334,131.00116312259166,2991.5084673678275
cons,fade 15 min (09:46),rápida (R600 S60 T120 K2),1000,0.35035,396.45,0.18633333333333332,0.275,11.035333333333334,131.00116312259166,2991.5084673678275
cons,fade 15 min (09:46),rápida (R600 S60 T120 K2),2500,0.35035,335.025,0.13583333333333333,0.22733333333333333,12.481,69.57616312259165,1404.7907304617497
cons,fade 15 min (09:46),rápida (R600 S60 T120 K2),3500,0.35035,289.35,0.10216666666666667,0.19133333333333333,13.643333333333333,23.901163122591697,441.4678553794118
cons,fade 15 min (09:46),lenta (R400 S90 T180 K1),-1,0.35035,361.35,0.16583333333333333,0.25283333333333335,25.21,95.9011631225917,958.6312220108333
cons,fade 15 min (09:46),lenta (R400 S90 T180 K1),0,0.35035,361.35,0.16583333333333333,0.25283333333333335,25.21,95.9011631225917,958.6312220108333
cons,fade 15 min (09:46),lenta (R400 S90 T180 K1),1000,0.35035,361.35,0.16583333333333333,0.25283333333333335,25.214,95.9011631225917,958.479142813243
cons,fade 15 min (09:46),lenta (R400 S90 T180 K1),2500,0.35035,270.9,0.11116666666666666,0.1875,28.9195,5.451163122591652,47.50058289019852
cons,fade 15 min (09:46),lenta (R400 S90 T180 K1),3500,0.35035,205.875,0.078,0.142,31.391,-59.573836877408326,-478.2455765380809
cons,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),-1,0.3844,908.7690254175548,0.286,0.581,32.961333333333336,666.833541546587,5098.1570062823075
cons,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),0,0.3844,908.775,0.286,0.581,32.961333333333336,666.8395161290323,5098.20268388767
cons,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),1000,0.3844,911.475,0.286,0.582,33.10816666666667,669.5395161290323,5096.143189178383
cons,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),2500,0.3844,949.725,0.2265,0.5743333333333334,42.9855,707.7895161290323,4149.374976783244
cons,momentum 30 min (10:01),equilibrada (R250 S60 T180 K2),3500,0.3844,918.225,0.1885,0.5428333333333333,49.685,676.2895161290323,3430.1088470265904
cons,momentum 30 min (10:01),rápida (R600 S60 T120 K2),-1,0.3844,738.225,0.24733333333333332,0.4675,15.7255,496.2895161290323,7953.003596993172
cons,momentum 30 min (10:01),rápida (R600 S60 T120 K2),0,0.3844,738.225,0.24733333333333332,0.4675,15.7255,496.2895161290323,7953.003596993172
cons,momentum 30 min (10:01),rápida (R600 S60 T120 K2),1000,0.3844,738.225,0.24733333333333332,0.4675,15.7255,496.2895161290323,7953.003596993172
cons,momentum 30 min (10:01),rápida (R600 S60 T120 K2),2500,0.3844,733.5,0.196,0.4435,18.676,491.56451612903226,6632.804565459207
cons,momentum 30 min (10:01),rápida (R600 S60 T120 K2),3500,0.3844,721.575,0.1595,0.41883333333333334,21.8375,479.6395161290323,5534.9356869841395
cons,momentum 30 min (10:01),lenta (R400 S90 T180 K1),-1,0.3844,870.2984151496738,0.27466666666666667,0.555,36.238,628.3629312787061,4369.652262327776
cons,momentum 30 min (10:01),lenta (R400 S90 T180 K1),0,0.3844,870.3,0.27466666666666667,0.555,36.238,628.3645161290322,4369.663283418404
cons,momentum 30 min (10:01),lenta (R400 S90 T180 K1),1000,0.3844,867.6,0.27466666666666667,0.554,36.334666666666664,625.6645161290323,4339.312082066241
cons,momentum 30 min (10:01),lenta (R400 S90 T180 K1),2500,0.3844,909.0,0.2195,0.5535,46.03333333333333,667.0645161290322,3651.707271495644
cons,momentum 30 min (10:01),lenta (R400 S90 T180 K1),3500,0.3844,855.45,0.183,0.5153333333333333,52.96066666666667,613.5145161290322,2919.2543786807087
cons,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),-1,0.3343,261.9,0.12983333333333333,0.1875,21.963666666666665,-16.293239605145118,-186.94038854304395
cons,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),0,0.3343,261.9,0.12983333333333333,0.1875,21.963666666666665,-16.293239605145118,-186.94038854304395
cons,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),1000,0.3343,261.45,0.12983333333333333,0.18733333333333332,21.964666666666666,-16.743239605145106,-192.0947148676617
cons,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),2500,0.3343,186.3,0.08416666666666667,0.132,24.420833333333334,-91.89323960514508,-948.2516859442372
cons,fade 30 min (10:01),equilibrada (R250 S60 T180 K2),3500,0.3343,130.05,0.0565,0.09133333333333334,25.745833333333334,-148.14323960514508,-1450.0247825407307
cons,fade 30 min (10:01),rápida (R600 S60 T120 K2),-1,0.3343,387.675,0.182,0.26766666666666666,11.2315,109.48176039485492,2456.430896986461
cons,fade 30 min (10:01),rápida (R600 S60 T120 K2),0,0.3343,387.675,0.182,0.26766666666666666,11.2315,109.48176039485492,2456.430896986461
