perfil,exp_R_bruto,Rusd,K,aprueba,dias_aprobar,ev_fondeada,cobra,retiros,vida,neto_por_examen,neto_18m_16ex_mes
Sin ventaja: 50% a 1:1,0.028105167724388033,400,1,0.21333333333333335,10.0,699.2377284001143,0.601,1.5056666666666667,26.845333333333333,50.17071539202439,14449.166032903024
Ventaja pequeña: 55% a 1:1,0.09277727410093684,150,2,0.303,34.0,1798.0925358535123,0.843,4.540666666666667,168.66566666666668,445.8220383636142,128396.74704872089
Ventaja media: 60% a 1:1,0.20338470837110909,900,3,0.316,3.0,18616.032726929894,0.4513333333333333,8.418666666666667,81.004,5783.666341709846,1665695.9064124357
Ventaja fuerte: 65% a 1:1,0.28437594439407676,900,3,0.4186666666666667,3.0,67577.56009311046,0.562,30.142,259.968,28193.471825648914,8119719.885786887
WR alto: 75% a 0.5:1 (sin ventaja),0.008612873980054397,600,1,0.20566666666666666,10.0,689.1631335579049,0.6156666666666667,1.6076666666666666,23.076666666666668,42.737884468409106,12308.510726901823
WR alto con ventaja: 75% a 0.6:1,0.2068902991840435,150,3,0.8506666666666667,32.0,14940.610341352558,0.9993333333333333,17.480333333333334,540.626,12610.47919704391,3631818.008748646
WR muy alto con ventaja: 85% a 0.3:1,0.09728014505893016,250,3,0.5193333333333333,34.0,4281.4676125214655,0.943,5.5343333333333335,255.868,2124.508846769481,611858.5478696105
Nuestro pullback VI real (~36% a 2:1),0.05178219007891552,150,1,0.21766666666666667,29.0,1096.0376847829966,0.7366666666666667,3.224,120.51333333333334,139.5708693877656,40196.4103836765
