tipo,size,R,S,rr,K,G,L,reserva,ev,p_cobra,n_ret,quiebra,dias,p10,p50,p90,ev_val,p_cobra_val,n_ret_val,dias_val,p10_val,p50_val,p90_val
select_flex,50,150.0,60,3,1,600.0,1000000000.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,600.0,450.0,500,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,600.0,450.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,600.0,225.0,500,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,600.0,225.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,375.0,1000000000.0,500,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,375.0,1000000000.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,375.0,450.0,500,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,375.0,450.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,375.0,225.0,500,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,375.0,225.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,262.5,1000000000.0,500,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,262.5,1000000000.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,150.0,225.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_flex,50,150.0,60,3,1,262.5,450.0,0,1256.3319032461104,0.7893333333333333,2.816666666666667,0.9753333333333334,88.62133333333334,0.0,852.5901880935061,3066.039659054892,1194.7658447494682,0.752875,2.667375,84.1645,0.0,759.440259234698,3022.157822132949
select_daily,50,150.0,60,3,3,375.0,225.0,0,1115.5934445861135,0.422,2.57,0.9226666666666666,101.44733333333333,0.0,0.0,4033.7347091218144,1016.6030300480368,0.40675,2.356125,98.7005,0.0,0.0,3564.4978598194702
select_daily,50,150.0,60,3,3,600.0,225.0,0,1115.5934445861135,0.422,2.57,0.9226666666666666,101.44733333333333,0.0,0.0,4033.7347091218144,1016.6030300480368,0.40675,2.356125,98.7005,0.0,0.0,3564.4978598194702
select_daily,50,150.0,60,3,3,600.0,225.0,500,1115.5934445861135,0.422,2.57,0.9226666666666666,101.44733333333333,0.0,0.0,4033.7347091218144,1016.6030300480368,0.40675,2.356125,98.7005,0.0,0.0,3564.4978598194702
select_daily,50,150.0,60,3,3,375.0,225.0,500,1115.5934445861135,0.422,2.57,0.9226666666666666,101.44733333333333,0.0,0.0,4033.7347091218144,1016.6030300480368,0.40675,2.356125,98.7005,0.0,0.0,3564.4978598194702
select_daily,50,150.0,60,3,2,375.0,225.0,0,1089.7155370468236,0.42866666666666664,2.572,0.9066666666666666,109.418,0.0,0.0,3751.0174335275847,999.3243543712906,0.406625,2.349125,106.665,0.0,0.0,3535.7721308012433
select_daily,50,150.0,60,3,2,375.0,225.0,500,1089.7155370468236,0.42866666666666664,2.572,0.9066666666666666,109.418,0.0,0.0,3751.0174335275847,999.3243543712906,0.406625,2.349125,106.665,0.0,0.0,3535.7721308012433
select_daily,50,150.0,60,3,2,600.0,225.0,0,1089.7155370468236,0.42866666666666664,2.572,0.9066666666666666,109.418,0.0,0.0,3751.0174335275847,999.3243543712906,0.406625,2.349125,106.665,0.0,0.0,3535.7721308012433
select_daily,50,150.0,60,3,2,600.0,225.0,500,1089.7155370468236,0.42866666666666664,2.572,0.9066666666666666,109.418,0.0,0.0,3751.0174335275847,999.3243543712906,0.406625,2.349125,106.665,0.0,0.0,3535.7721308012433
select_daily,50,150.0,60,3,5,600.0,225.0,500,1028.8889896851506,0.38666666666666666,2.334,0.96,86.60333333333334,0.0,0.0,3613.7511685098784,940.0674793701705,0.380625,2.132,86.529875,0.0,0.0,3365.638568813821
