escenario,planes,correlacion,examenes_paralelo,neto_media,neto_mediana,p10,p25,p75,p90,p_ganar,p_quiebra,gasto_cuotas,cobrado,examenes,fondeadas
cons,growth,mismo día,1,5982.769,-930.0,-930.0,-930.0,5420.25,24541.499999999996,0.2776666666666667,0.719,2207.231,8190.0,23.733666666666668,9.168
cons,growth,mismo día,2,5409.642,-930.0,-930.0,-930.0,-927.0,24124.199999999997,0.234,0.7643333333333333,2055.858,7465.5,22.106,8.526666666666667
cons,growth,mismo día,5,4452.947,-930.0,-930.0,-930.0,-930.0,22147.499999999978,0.18733333333333332,0.8103333333333333,1781.353,6234.3,19.154333333333334,7.342666666666666
cons,growth,independiente,5,7236.974,-927.0,-930.0,-930.0,14439.0,22405.199999999997,0.49066666666666664,0.5076666666666667,4391.026,11628.0,47.215333333333334,18.219333333333335
cons,select,mismo día,1,2177.2022860025045,725.264675644669,-990.0,-721.2671415307717,3466.404611821627,7439.12254259504,0.616,0.20966666666666667,1390.917,3568.1192860025044,14.049666666666667,3.9963333333333333
cons,select,mismo día,2,3032.1887465968093,120.18192447104627,-990.0,-990.0,5576.017151702905,11411.331982467824,0.5053333333333333,0.44033333333333335,1750.287,4782.475746596809,17.679666666666666,5.069333333333334
cons,select,mismo día,5,3005.7561726341173,-990.0,-990.0,-990.0,5772.1827206087155,13272.054411679343,0.35333333333333333,0.625,1695.078,4700.834172634118,17.122,4.925
cons,select,independiente,5,3855.03006003948,3743.300683658357,-975.7746470984918,1049.651383305154,6199.37709974797,8523.986013316058,0.801,0.16633333333333333,3001.284,6856.314060039479,30.316,8.556666666666667
cons,ambos,mismo día,1,6562.876114061222,-936.0,-952.8711548769724,-942.0,4508.773094316752,27486.28895550637,0.2703333333333333,0.7256666666666667,2687.667,9250.543114061224,28.541,10.513666666666667
cons,ambos,mismo día,2,6268.552507449408,-942.0,-948.0,-942.0,-929.2319577814683,28605.20438597798,0.22266666666666668,0.775,2643.334,8911.886507449408,27.952,10.063333333333333
cons,ambos,mismo día,5,5851.966900741461,-960.0,-960.0,-960.0,-960.0,27898.23067192344,0.19,0.808,2583.88,8435.846900741462,27.154,9.561
cons,ambos,independiente,5,10227.905177700668,8787.08976660848,-960.0,-960.0,18261.991154076088,25882.378671727074,0.6426666666666667,0.3473333333333333,7355.2,17583.10517770067,77.62933333333334,27.753
opt,growth,mismo día,1,24250.489,-927.0,-930.0,-930.0,44553.0,76401.59999999999,0.488,0.5113333333333333,2180.261,26430.75,23.443666666666665,10.176666666666666
opt,growth,mismo día,2,22784.355,-930.0,-930.0,-930.0,43144.5,76686.59999999995,0.4236666666666667,0.5756666666666667,1968.345,24752.7,21.165,9.161333333333333
opt,growth,mismo día,5,18638.401,-930.0,-930.0,-930.0,33285.0,73320.0,0.322,0.6763333333333333,1526.099,20164.5,16.409666666666666,7.217
opt,growth,independiente,5,35276.65,39810.0,-930.0,23330.25,50990.25,61504.49999999999,0.787,0.213,4061.0,39337.65,43.666666666666664,18.934666666666665
opt,select,mismo día,1,8832.63480714462,7020.209653506512,450.635649150585,2801.3899793741007,13183.316715556652,19657.09998572309,0.9236666666666666,0.03933333333333333,1488.762,10321.39680714462,15.038,6.083
opt,select,mismo día,2,11580.215565151924,10564.372243310449,-990.0,2749.1090078785273,18296.357561729612,25103.708822624878,0.817,0.168,1855.656,13435.871565151925,18.744,7.602
opt,select,mismo día,5,11273.401626725574,9502.786228356545,-990.0,-990.0,20817.008372215336,29081.45851282111,0.6026666666666667,0.394,1736.592,13009.993626725574,17.541333333333334,7.208666666666667
opt,select,independiente,5,15305.819765205597,15200.177538842549,9314.562556508658,12117.990565828,18503.625182570006,21724.20002967055,0.9873333333333333,0.012333333333333333,2563.11,17868.929765205598,25.89,10.552333333333333
opt,ambos,mismo día,1,29837.873941679714,10937.699896982514,-942.0,-936.0,53196.45629818631,89602.3392664351,0.5236666666666666,0.47533333333333333,3125.368,32963.24194167971,33.04933333333334,14.113333333333333
opt,ambos,mismo día,2,28877.495123728295,-942.0,-942.0,-942.0,54492.542300079935,95295.24145682885,0.44333333333333336,0.5563333333333333,3010.669,31888.164123728297,31.715666666666667,13.539333333333333
opt,ambos,mismo día,5,26523.17024298574,-960.0,-960.0,-960.0,51067.325351553925,93415.52736740836,0.37866666666666665,0.621,2817.105,29340.27524298574,29.557,12.593
opt,ambos,independiente,5,52239.857628410144,53598.19736190143,29286.198138502754,42197.753125412215,64628.84508207698,75492.7622604491,0.946,0.05366666666666667,7102.245,59342.10262841014,74.799,31.786666666666665
